fecha_primeros_sintomas,activos,recuperados
2020-02-22,1,0
2020-02-23,2,0
2020-02-24,3,0
2020-02-25,9,0
2020-02-26,10,0
2020-02-27,14,0
2020-02-28,16,0
2020-02-29,16,1
2020-03-01,22,2
2020-03-02,27,3
2020-03-03,29,9
2020-03-04,38,10
2020-03-05,54,14
2020-03-06,65,16
2020-03-07,77,17
2020-03-08,94,24
2020-03-09,122,30
2020-03-10,175,38
2020-03-11,216,48
2020-03-12,263,68
2020-03-13,360,81
2020-03-14,494,94
2020-03-15,633,118
2020-03-16,872,152
2020-03-17,1060,213
2020-03-18,1254,264
2020-03-19,1470,331
2020-03-20,1696,441
2020-03-21,1831,588
2020-03-22,1951,751
2020-03-23,2036,1024
2020-03-24,2102,1273
2020-03-25,2189,1518
2020-03-26,2238,1801
2020-03-27,2226,2137
2020-03-28,2252,2419
2020-03-29,2245,2702
2020-03-30,2250,3060
2020-03-31,2250,3375
2020-04-01,2342,3707
2020-04-02,2385,4039
2020-04-03,2433,4363
2020-04-04,2484,4671
2020-04-05,2525,4947
2020-04-06,2579,5310
2020-04-07,2645,5625
2020-04-08,2600,6049
2020-04-09,2640,6424
2020-04-10,2693,6796
2020-04-11,2658,7155
2020-04-12,2689,7472
2020-04-13,2815,7889
2020-04-14,2896,8270
2020-04-15,3105,8649
2020-04-16,3228,9064
2020-04-17,3363,9489
2020-04-18,3562,9813
2020-04-19,3712,10161
2020-04-20,4085,10704
2020-04-21,4325,11166
2020-04-22,4505,11754
2020-04-23,4793,12292
2020-04-24,5289,12852
2020-04-25,5798,13375
2020-04-26,6316,13873
2020-04-27,7056,14789
2020-04-28,7981,15491
2020-04-29,8862,16259
2020-04-30,9997,17085
2020-05-01,11745,18141
2020-05-02,13299,19173
2020-05-03,15040,20189
2020-05-04,17187,21845
2020-05-05,19039,23472
2020-05-06,20824,25121
2020-05-07,22527,27082
2020-05-08,23903,29886
2020-05-09,25152,32472
2020-05-10,26599,35229
2020-05-11,28011,39032
2020-05-12,29222,42511
2020-05-13,29965,45945
2020-05-14,30400,49609
2020-05-15,31440,53789
2020-05-16,32134,57624
2020-05-17,32362,61828
2020-05-18,32906,67043
2020-05-19,33134,71733
2020-05-20,34691,75910
2020-05-21,35069,80009
2020-05-22,35421,85229
2020-05-23,35834,89758
2020-05-24,35867,94190
2020-05-25,36228,99949
2020-05-26,36096,104867
2020-05-27,35278,110601
2020-05-28,35752,115078
2020-05-29,35322,120650
2020-05-30,35145,125592
2020-05-31,34969,130057
2020-06-01,35769,136177
2020-06-02,35674,140963
2020-06-03,35287,145879
2020-06-04,34825,150830
2020-06-05,34739,155972
2020-06-06,34334,160737
2020-06-07,33930,165026
2020-06-08,32324,171946
2020-06-09,31743,176637
2020-06-10,31601,181166
2020-06-11,31041,185655
2020-06-12,30522,190711
2020-06-13,30288,195071
2020-06-14,30012,198956
2020-06-15,29503,204270
2020-06-16,29481,208380
2020-06-17,28861,212767
2020-06-18,28773,216696
2020-06-19,28227,221233
2020-06-20,27814,225359
2020-06-21,27204,228968
2020-06-22,26186,233773
2020-06-23,25487,237861
2020-06-24,24906,241628
2020-06-25,24153,245469
2020-06-26,23332,249460
2020-06-27,22317,253173
2020-06-28,21821,256172
2020-06-29,20673,259959
2020-06-30,20218,263348
2020-07-01,20298,266534
2020-07-02,19628,269622
2020-07-03,19068,272792
2020-07-04,18692,275490
2020-07-05,18402,277993
2020-07-06,18561,280632
2020-07-07,18043,283566
2020-07-08,17010,286832
2020-07-09,16826,289250
2020-07-10,16703,291860
2020-07-11,16371,294182
2020-07-12,16059,296395
2020-07-13,15611,299193
2020-07-14,15398,301609
2020-07-15,15236,303842
2020-07-16,14709,306076
2020-07-17,14437,308563
2020-07-18,14351,310553
2020-07-19,14060,312454
2020-07-20,14076,314804
2020-07-21,13844,317007
2020-07-22,13691,319078
2020-07-23,14013,320785
2020-07-24,13758,323000
2020-07-25,13599,324904
2020-07-26,13456,326514
2020-07-27,13299,328880
2020-07-28,13205,330851
2020-07-29,13068,332769
2020-07-30,12912,334798
2020-07-31,12860,336758
2020-08-01,13028,338503
2020-08-02,13116,339970
2020-08-03,12999,342179
2020-08-04,13029,344056
2020-08-05,13075,345837
2020-08-06,13059,347710
2020-08-07,13007,349618
2020-08-08,12589,351531
2020-08-09,12313,353086
2020-08-10,12264,355178
2020-08-11,12164,357085
2020-08-12,12074,358912
2020-08-13,11811,360769
2020-08-14,11717,362625
2020-08-15,11626,364120
2020-08-16,11639,365399
2020-08-17,11577,367442
2020-08-18,11676,369249
2020-08-19,11702,370986
2020-08-20,12013,372580
2020-08-21,12006,374342
2020-08-22,12023,375746
2020-08-23,12083,377038
2020-08-24,12164,379019
2020-08-25,12194,380925
2020-08-26,12343,382688
2020-08-27,12273,384593
2020-08-28,12506,386348
2020-08-29,12611,387769
2020-08-30,12583,389121
2020-08-31,12637,391183
2020-09-01,12721,393119
2020-09-02,12738,395031
2020-09-03,12805,396866
2020-09-04,12819,398854
2020-09-05,12832,400380
2020-09-06,12789,401704
2020-09-07,12701,403820
2020-09-08,12517,405840
2020-09-09,12369,407769
