region_residencia,comuna_residencia,Fecha defunciones,confirmados,sospechosos,totales
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2020-04-08,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2020-12-01,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-01-02,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-01-14,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-01-27,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-01-30,4.0,,4.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-02-03,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-02-04,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-02-24,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-05-31,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-06-02,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-06-06,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-06-08,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-06-14,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-06-17,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-06-22,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-06-25,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-07-08,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-07-19,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-07-21,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-07-28,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-07-29,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-08-25,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-08-26,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-10-07,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-11-23,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-12-07,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-12-15,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2021-12-16,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-01-07,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-01-18,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-01-26,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-01-31,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-02-09,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-02-20,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-03-01,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-03-02,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-03-03,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-03-07,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-03-21,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-03-22,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-04-14,,1.0,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-04-15,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-05-16,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-06-19,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-07-31,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-08-01,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-08-12,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-08-26,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Aisén,2022-09-08,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Chile Chico,2020-06-11,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Chile Chico,2020-09-26,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Chile Chico,2021-01-04,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Chile Chico,2021-06-08,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Chile Chico,2021-06-22,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Chile Chico,2021-11-28,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Chile Chico,2022-01-03,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Chile Chico,2022-02-15,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Chile Chico,2022-08-11,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Cisnes,2020-10-17,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Cisnes,2020-12-26,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Cisnes,2021-03-14,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Cisnes,2021-03-21,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Cisnes,2021-07-03,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Cisnes,2021-08-14,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Cisnes,2021-12-12,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Cisnes,2022-02-18,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Cisnes,2022-03-15,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Cochrane,2021-06-12,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Cochrane,2022-02-12,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Cochrane,2022-03-13,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Cochrane,2022-09-07,1.0,,1.0
De Aisén del Gral. C. Ibáñez del Campo,Coihaique,2020-05-28,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Coihaique,2020-05-29,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Coihaique,2020-06-14,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Coihaique,2020-10-10,2.0,,2.0
De Aisén del Gral. C. Ibáñez del Campo,Coihaique,2020-10-22,,2.0,2.0
De Aisén del Gral. C. Ibáñez del Campo,Coihaique,2020-10-23,4.0,,4.0
De Aisén del Gral. C. Ibáñez del Campo,Coihaique,2020-10-30,2.0,,2.0
