SEREMI notificacion,Codigo region,202007,202008,202009,202010,202011,202012,202013,202014,202015,202016,202017,202018,202019,202020,202021,202022,202023,202024,202025,202026,202027,202028,202029,202030,202031,202032,202033,202034,202035,202036,202037,202038,202039,202040,202041,202042,202043,202044,202045,202046,202047,202048,202049,202050,202051,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202113,202114,202115,202116,202117,202118,202119,202120,202121,202122,202123,202124,202125,202126,202012,202013,202014,202015,202016,202017,202018,202022,202023,202053,202106,202114,202116,SE7
Desconocido Arica y Parinacota,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,8.0,0.0,2.0,0.0,1.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,4.0,2.0,0.0,1.0,7.0,8.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,9.0,7.0,8.0,10.0,14.0,19.0,8.0,6.0,12.0,11.0,9.0,7.0,5.0,,,,,,,,,,,,,,
Desconocido Tarapaca,01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,94.0,29.0,25.0,25.0,30.0,26.0,18.0,20.0,16.0,16.0,33.0,34.0,16.0,16.0,13.0,11.0,13.0,10.0,15.0,40.0,64.0,80.0,85.0,25.0,9.0,3.0,11.0,1.0,4.0,1.0,1.0,0.0,2.0,2.0,1.0,6.0,7.0,4.0,2.0,1.0,5.0,2.0,2.0,5.0,3.0,3.0,1.0,7.0,9.0,15.0,54.0,19.0,12.0,6.0,2.0,1.0,7.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,
Desconocido Antofagasta,02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,11.0,41.0,30.0,26.0,20.0,21.0,21.0,25.0,26.0,13.0,13.0,9.0,4.0,8.0,3.0,4.0,6.0,10.0,1.0,6.0,2.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,2.0,6.0,12.0,12.0,14.0,35.0,15.0,16.0,12.0,3.0,16.0,3.0,9.0,5.0,23.0,17.0,18.0,22.0,22.0,23.0,16.0,13.0,14.0,21.0,14.0,16.0,19.0,7.0,,,,,,,,,,,,,,
Desconocido Atacama,03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,1.0,3.0,1.0,0.0,11.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,8.0,6.0,2.0,4.0,2.0,6.0,2.0,5.0,5.0,,,,,,,,,,,,,,
Desconocido Coquimbo,04,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,9.0,8.0,9.0,17.0,10.0,15.0,9.0,17.0,12.0,2.0,8.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,4.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,3.0,9.0,13.0,12.0,9.0,27.0,3.0,3.0,0.0,2.0,0.0,2.0,4.0,1.0,6.0,,,,,,,,,,,,,,
Desconocido Valparaiso,05,0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,8.0,6.0,5.0,28.0,21.0,28.0,46.0,40.0,42.0,25.0,16.0,6.0,7.0,7.0,3.0,5.0,13.0,10.0,10.0,7.0,8.0,6.0,7.0,2.0,1.0,0.0,6.0,1.0,1.0,3.0,5.0,4.0,3.0,13.0,14.0,15.0,8.0,13.0,9.0,8.0,9.0,15.0,11.0,24.0,33.0,57.0,38.0,107.0,80.0,30.0,45.0,45.0,19.0,43.0,31.0,47.0,60.0,33.0,20.0,20.0,53.0,,,,,,,,,,,,,,
Desconocido Metropolitana,13,0,0.0,0.0,0.0,4.0,11.0,8.0,16.0,32.0,95.0,208.0,220.0,598.0,939.0,1351.0,814.0,660.0,771.0,842.0,423.0,251.0,171.0,93.0,42.0,45.0,23.0,15.0,25.0,25.0,29.0,25.0,16.0,35.0,23.0,27.0,19.0,17.0,18.0,31.0,20.0,23.0,16.0,33.0,30.0,67.0,53.0,89.0,107.0,142.0,112.0,81.0,79.0,92.0,106.0,89.0,168.0,210.0,306.0,371.0,430.0,557.0,489.0,499.0,413.0,304.0,309.0,434.0,426.0,458.0,361.0,234.0,165.0,174.0,,,,,,,,,,,,,,
Desconocido O’Higgins,06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,1.0,5.0,7.0,2.0,6.0,2.0,5.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,6.0,4.0,11.0,10.0,11.0,10.0,5.0,4.0,21.0,15.0,14.0,12.0,8.0,12.0,20.0,17.0,17.0,17.0,14.0,10.0,14.0,16.0,11.0,7.0,6.0,3.0,,,,,,,,,,,,,,
Desconocido Maule,07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,5.0,6.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,3.0,2.0,5.0,2.0,3.0,4.0,7.0,5.0,6.0,3.0,2.0,0.0,2.0,6.0,,,,,,,,,,,,,,
