Grupo de edad,Sexo,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-01,2020-05-02,2020-05-04,2020-05-06,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09
00 - 04 años,M,4,5,5,5,5,5,6,7,7,8,10,9,11,12,18,22,30,37,39,38,41,46,49,52,61,65,66,75,83,88,93,100,106,111,124,157,177,201,233,277,334,468,543,725,866,1028,1121,1274,1378,1535,1651,2058,2302,2565,2673,2848,3022,3132,3240,3392,3473,3564,3651,3792,3917,4042,4133,4244,4337,4461,4567,4704,4784,4915,5001,5120,5193,5303,5403,5552,5552,5733,5823,5913,6003,6143,6196,6290,6361,6458,6535,6644,6716,6811,6881,6959,7027,7122,7192,7262,7344,7455,7539,7651,7714,7838,7931,8069,8194,8355,8487,8701,8847,8994,9120,9290,9404,9551,9683,9847,9968,10158,10307,10546,10735,10972,11198,11539,11805,12170,12459,12840,13086,13621,13916,14382,14680,15129,15440,15871,16178,16545,16838,17227,17567,18049,18367,18861,19218,19688,20061,20504,20855,21306,21611,21920,22179,22423,22596,22853
05 - 09 años,M,2,2,2,4,4,4,4,7,7,9,10,11,13,14,17,18,20,27,27,27,29,32,35,38,42,44,45,52,58,61,66,71,80,81,89,115,126,143,173,194,244,347,410,540,631,742,820,932,1009,1104,1200,1573,1772,1981,2072,2210,2374,2489,2604,2733,2805,2887,2966,3105,3220,3320,3400,3495,3582,3705,3790,3899,3993,4122,4226,4341,4403,4538,4644,4762,4762,4996,5075,5175,5258,5384,5429,5535,5619,5698,5767,5853,5940,6029,6100,6183,6273,6369,6445,6519,6600,6703,6793,6918,6988,7129,7235,7398,7570,7781,7937,8152,8297,8514,8686,8847,8999,9156,9310,9464,9633,9856,10039,10290,10515,10851,11064,11436,11751,12146,12501,12984,13326,13892,14327,14868,15295,15813,16198,16705,17082,17554,17906,18337,18699,19240,19594,20165,20602,21150,21618,22156,22571,23087,23431,23786,24093,24350,24577,24858
10 - 14 años,M,7,8,8,10,10,10,10,12,12,13,16,21,23,23,31,34,37,40,46,51,53,57,65,71,81,86,90,96,101,105,108,114,119,125,133,159,173,197,228,247,294,412,490,612,714,840,948,1078,1176,1315,1420,1851,2054,2307,2367,2517,2731,2860,2979,3157,3224,3295,3361,3512,3623,3779,3884,3998,4089,4215,4317,4430,4524,4646,4775,4922,5023,5161,5298,5451,5451,5674,5776,5880,5987,6142,6197,6300,6397,6492,6581,6690,6781,6870,6972,7082,7186,7294,7387,7506,7609,7732,7845,7980,8083,8256,8399,8625,8852,9109,9325,9604,9831,10100,10347,10556,10760,10980,11157,11373,11579,11888,12137,12475,12811,13239,13557,14108,14508,15081,15641,16243,16690,17423,17949,18702,19263,19916,20423,21129,21596,22188,22688,23312,23795,24504,24975,25711,26298,27078,27692,28422,28983,29681,30147,30631,31041,31427,31732,32078
15 - 19 años,M,8,9,13,16,17,18,22,26,27,34,37,42,50,52,56,60,65,69,73,77,79,86,96,103,109,113,116,118,126,136,139,153,164,175,185,222,243,279,324,370,453,626,743,964,1133,1358,1552,1776,1976,2237,2455,3286,3640,4088,4235,4547,4837,5016,5219,5467,5610,5743,5841,6059,6230,6396,6537,6706,6879,7046,7188,7363,7557,7743,7899,8066,8186,8356,8535,8727,8727,9161,9319,9486,9619,9842,9942,10076,10217,10363,10495,10650,10783,10939,11060,11232,11383,11566,11682,11846,12023,12250,12416,12670,12842,13163,13401,13801,14210,14665,15023,15479,15871,16335,16691,17104,17434,17829,18167,18537,18870,19410,19825,20401,20915,21620,22171,22919,23554,24364,25101,26014,26603,27632,28339,29388,30153,31092,31821,32787,33499,34413,35082,35897,36620,37550,38288,39346,40240,41421,42317,43391,44284,45275,46039,46740,47290,47814,48181,48621
20 - 24 años,M,25,32,35,46,52,58,64,72,84,99,118,125,138,145,175,192,209,235,243,252,274,290,309,327,343,353,368,386,399,419,436,452,473,492,523,640,720,809,907,1045,1219,1583,1864,2487,2967,3644,4255,4908,5531,6381,7089,9355,10344,11420,11824,12487,13089,13505,13911,14493,14735,15055,15259,15711,16041,16431,16683,16966,17222,17551,17841,18194,18486,18819,19146,19474,19664,19989,20310,20648,20648,21188,21440,21703,21929,22273,22430,22706,22927,23201,23433,23744,23949,24242,24462,24684,24931,25198,25463,25745,26016,26430,26762,27178,27467,28010,28371,29013,29670,30445,31099,31924,32582,33376,34022,34661,35125,35793,36301,36898,37421,38276,39006,39988,40836,42080,43006,44393,45562,46991,48180,49838,50974,52688,53934,55603,56919,58485,59680,61276,62255,63535,64515,65914,67061,68573,69721,71378,72843,74575,75960,77555,78928,80389,81416,82376,83172,83869,84397,84988
25 - 29 años,M,61,75,87,100,107,116,128,147,154,187,222,236,252,268,312,332,366,389,409,434,457,486,519,558,577,596,613,635,672,715,745,790,823,855,892,1102,1232,1390,1564,1747,2058,2692,3118,4211,4996,6131,7069,8170,9264,10740,11878,15283,16776,18389,19034,20041,20984,21603,22215,23090,23482,23905,24255,24871,25323,25831,26192,26639,27031,27518,27895,28383,28786,29248,29664,30089,30372,30820,31216,31711,31711,32428,32763,33111,33449,33949,34141,34499,34754,35118,35402,35744,36028,36349,36634,37020,37374,37755,38078,38484,38896,39384,39791,40370,40734,41434,41935,42814,43620,44685,45495,46602,47419,48431,49122,49972,50639,51466,52189,52937,53622,54631,55476,56690,57741,59276,60471,62203,63581,65461,66959,69017,70485,72618,74177,76186,77797,79735,81196,83103,84393,86057,87263,88920,90245,92188,93478,95577,97266,99449,101206,103369,104901,106534,107695,108775,109637,110415,110980,111643
30 - 34 años,M,88,106,115,137,139,149,170,188,199,226,251,274,295,310,353,372,405,431,440,469,494,526,552,578,608,625,646,669,693,736,763,803,834,857,910,1101,1201,1376,1553,1807,2102,2820,3258,4409,5229,6393,7309,8491,9614,11057,12240,15456,17023,18717,19378,20423,21431,22065,22712,23627,24063,24505,24845,25428,25881,26389,26762,27182,27543,28018,28375,28844,29229,29658,30051,30475,30717,31179,31562,32012,32012,32709,32979,33315,33654,34133,34338,34663,34923,35294,35577,35943,36247,36579,36881,37202,37589,37943,38279,38641,39000,39470,39874,40456,40869,41596,42074,42936,43768,44812,45609,46747,47602,48617,49346,50201,50889,51743,52371,53224,53911,54942,55752,57048,58061,59654,60808,62487,63820,65728,67228,69326,70766,72924,74509,76685,78289,80254,81708,83566,84783,86479,87753,89401,90771,92639,93990,96020,97612,99914,101672,103674,105121,106742,107861,108945,109811,110605,111188,111839
35 - 39 años,M,72,86,96,119,133,142,158,174,185,213,234,251,263,276,324,340,372,384,399,423,438,461,494,520,543,567,584,604,632,656,675,707,735,755,788,950,1032,1168,1337,1506,1766,2325,2697,3590,4361,5264,6016,7034,8000,9147,10176,12873,14139,15565,16139,16979,17815,18292,18754,19530,19819,20206,20473,20929,21290,21690,21985,22299,22568,22901,23221,23581,23883,24267,24586,24938,25160,25525,25828,26170,26170,26726,27004,27274,27544,27941,28085,28373,28608,28915,29150,29412,29667,29924,30167,30474,30777,31071,31336,31676,32033,32427,32733,33196,33496,34115,34514,35236,35904,36754,37381,38240,38919,39781,40394,41093,41668,42400,42965,43635,44180,45006,45672,46678,47480,48665,49675,51113,52201,53752,54987,56696,57842,59653,60938,62635,63923,65521,66675,68198,69176,70569,71571,72920,73984,75533,76675,78431,79714,81436,82816,84488,85670,87029,87957,88837,89525,90120,90569,91144
40 - 44 años,M,62,71,82,97,112,125,141,157,164,188,202,220,234,246,284,308,327,338,358,387,393,415,437,455,467,484,502,524,550,575,587,618,637,662,696,830,895,991,1125,1272,1481,1947,2259,2963,3598,4336,5006,5810,6615,7586,8427,10562,11641,12870,13351,14126,14831,15269,15730,16399,16655,16984,17231,17619,17946,18286,18531,18845,19095,19422,19680,20005,20229,20524,20795,21103,21267,21580,21841,22148,22148,22667,22906,23142,23384,23714,23842,24073,24243,24451,24645,24906,25074,25317,25495,25733,25992,26282,26488,26730,27010,27358,27611,28003,28269,28742,29059,29629,30132,30834,31402,32144,32697,33434,33982,34582,35060,35665,36156,36720,37177,37845,38419,39283,39970,40984,41758,42890,43839,45156,46177,47596,48618,50102,51194,52682,53815,55173,56127,57448,58251,59432,60247,61352,62232,63538,64420,65839,66840,68288,69388,70749,71706,72802,73535,74263,74832,75380,75802,76311
45 - 49 años,M,47,55,69,86,95,108,125,139,151,171,192,206,221,234,274,289,303,326,342,357,363,386,407,432,446,461,481,489,506,535,559,580,596,609,632,769,839,923,1013,1177,1357,1791,2101,2845,3405,4143,4790,5583,6348,7305,8146,10289,11327,12469,12923,13692,14412,14857,15297,15952,16245,16603,16846,17240,17550,17929,18166,18439,18692,18969,19190,19525,19790,20108,20393,20670,20872,21182,21425,21740,21740,22173,22372,22618,22853,23197,23317,23540,23737,23951,24150,24348,24532,24763,24934,25188,25425,25674,25901,26166,26453,26775,27038,27397,27661,28135,28442,29045,29582,30229,30827,31582,32181,32866,33415,34039,34526,35123,35588,36121,36556,37191,37752,38613,39258,40267,41033,42215,43117,44445,45475,46864,47903,49377,50353,51817,52919,54233,55193,56405,57188,58202,58895,59849,60607,61655,62378,63440,64293,65456,66296,67353,68136,69078,69694,70361,70857,71344,71726,72114
