Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09
Arica y Parinacota,15,Arica,15101,247552.0,2.4,2.4,4.8,16.6,25.4,35.1,46.5,50.1,54.1,67.1,90.5,109.1,120.0,125.2,132.5,142.6,149.9,163.6,192.7,212.1,240.8,263.8,325.6,365.2,422.5,475.1,553.8,619.3,710.2,762.3,864.1,995.3,1099.2,1261.6,1362.1,1568.2,1701.1,1872.7,1968.9,2108.6,2239.1,2386.2,2476.7,2574.8,2656.8,2740.0,2815.2,2897.2,2966.6,3030.9,3088.6,3158.5,3210.6,3285.8,3365.8,3472.8,3543.5,3634.0,3691.3,3774.2,3826.3,3909.9,3943.8,3994.3,4029.1,4081.2,4123.6,4158.3,4186.2,4218.5,4237.1,4253.7,4276.3,4294.0,4311.0,4330.4,4361.9,4393.0,4416.8,4454.8,4475.8,4529.1,4563.1,4618.8,4706.1,4801.4,4916.5,5030.5,5134.7,5270.4,5386.7,5496.2,5608.9,5723.2,5827.9,5951.9,6062.2,6203.9,6312.6,6454.4,6565.5,6711.3,6832.1,7041.3,7178.7,7420.7,7528.5,7738.6,7835.1,8016.5,8136.5,8301.3,8440.2,8614.4,8762.6,8939.5,9054.7,9218.7,9346.3,9511.9,9636.8,9794.7,9916.3,10070.2,10192.2,10344.9,10467.7,10607.1,10717.3,10872.9,10985.6,11139.5,11235.2,11340.6,11431.5,11525.7
Arica y Parinacota,15,Camarones,15102,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.8,1054.3,1054.3,1054.3,1216.5,1297.6,1703.2,1865.4,1865.4,1946.5,2027.6,2027.6,2189.8,2027.6,2108.7,2108.7,2108.7,2108.7,2108.7,2108.7,2189.8,2189.8,2189.8,2189.8,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2270.9,2189.8,2189.8,2189.8,2189.8,2189.8,2189.8,2189.8,2189.8,2352.0,2352.0,2433.1,2433.1,2514.2,2433.1,2433.1,2433.1,2433.1,2433.1,2433.1,2514.2,2595.3,2595.3,2919.7,2919.7,3406.3,3406.3,3406.3,3406.3,3406.3,3487.4,3568.5,3487.4,3730.7,4136.3,4379.6,4379.6,4460.7,4460.7,4460.7,4460.7,4460.7,4460.7,4541.8,4704.0,4785.1,4785.1,4785.1,4785.1,4866.2,4866.2,4947.3,4947.3,5028.4,5028.4,5028.4,5109.5,5190.6,5271.7,5271.7
Arica y Parinacota,15,General Lagos,15202,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.5,123.5,123.5,123.5,246.9,740.7,1851.9,5925.9,7284.0,7654.3,7654.3,7654.3,7654.3,7777.8,7777.8,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,7901.2,8024.7,8024.7,8024.7,8024.7,8024.7,8024.7,8024.7,8024.7,8024.7,8024.7,8024.7,8024.7,8024.7,8148.1,8271.6,8518.5,8888.9,9135.8,9135.8,9259.3,9506.2,9629.6,9629.6,9629.6,9753.1,9753.1,9753.1,9753.1,9753.1,9753.1,9753.1,9753.1,9753.1,9753.1,9876.5,9876.5,10000.0,10617.3,10740.7,10740.7
Arica y Parinacota,15,Putre,15201,2515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,79.5,119.3,357.9,397.6,437.4,437.4,437.4,1033.8,1113.3,1113.3,1192.8,1431.4,1471.2,1550.7,1590.5,1988.1,2186.9,2226.6,2186.9,1908.5,1948.3,1988.1,2027.8,2147.1,2266.4,2345.9,2385.7,2465.2,2465.2,2505.0,2664.0,2664.0,2783.3,2783.3,2783.3,2783.3,2783.3,2823.1,2862.8,2862.8,2862.8,2862.8,2862.8,2862.8,2862.8,2902.6,2902.6,2902.6,2902.6,2902.6,2902.6,2902.6,2902.6,2902.6,2902.6,2902.6,2902.6,2902.6,2902.6,2902.6,2982.1,3180.9,3379.7,3379.7,3499.0,3856.9,4015.9,4373.8,4652.1,4850.9,4850.9,4811.1,4811.1,4850.9,4970.2,5009.9,5009.9,5049.7,5049.7,5089.5,5129.2,5208.7,5407.6,5606.4,5765.4,6123.3,6202.8,6441.4,6520.9,6441.4,6481.1,6560.6,6600.4,6640.2,6679.9,6679.9,6679.9,6759.4,6799.2,6878.7,6958.3,6958.3,6998.0,6998.0,7117.3,7395.6,7514.9,7514.9,7594.4,7634.2,7674.0,7713.7
Arica y Parinacota,15,Total,,252110.0,2.4,2.4,4.8,16.3,25.0,34.5,45.6,49.2,53.2,65.8,88.9,107.1,117.8,123.0,130.1,140.0,147.2,160.6,189.2,208.2,236.4,259.0,319.7,359.0,415.7,467.7,548.2,612.4,702.9,753.2,854.0,988.9,1094.8,1257.0,1356.6,1562.0,1693.7,1863.9,1962.2,2105.4,2239.1,2388.2,2491.8,2590.5,2673.4,2754.0,2828.5,2910.6,2980.4,3045.1,3103.4,3172.4,3224.4,3300.1,3381.1,3487.4,3558.0,3646.8,3704.7,3787.2,3838.4,3920.9,3955.0,4001.4,4035.9,4087.5,4129.1,4161.3,4189.0,4221.2,4239.8,4257.7,4280.3,4297.7,4314.4,4334.6,4366.0,4396.1,4419.5,4456.4,4477.0,4529.8,4565.1,4632.9,4720.6,4817.3,4933.6,5046.6,5150.9,5289.8,5408.8,5522.2,5637.6,5753.4,5857.4,5977.5,6087.4,6215.9,6323.8,6464.2,6574.1,6718.5,6838.7,7043.8,7179.8,7417.8,7529.3,7735.1,7831.9,8015.2,8138.1,8306.7,8445.9,8618.9,8766.8,8942.9,9058.3,9224.5,9351.1,9521.2,9647.0,9804.8,9925.4,10079.7,10201.9,10352.6,10476.4,10617.2,10728.3,10886.9,10999.6,11151.5,11248.7,11357.3,11448.2,11541.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999.0,0.0,0.0,0.0,3.8,4.6,7.7,10.8,11.5,12.3,20.8,30.0,42.3,59.2,98.5,123.8,144.6,212.3,291.5,387.7,454.6,572.3,706.9,816.9,952.3,1034.6,1129.2,1286.2,1396.2,1499.2,1524.6,1588.5,1653.9,1685.4,1723.9,1779.2,1823.9,1856.9,1940.8,1996.2,2060.8,2107.7,2203.1,2270.0,2347.7,2414.6,2472.3,2523.1,2580.8,2629.3,2686.2,2738.5,2791.6,2815.4,2852.3,2886.9,2941.6,2961.6,3013.1,3039.3,3076.9,3108.5,3173.9,3198.5,3225.4,3255.4,3285.4,3316.2,3366.2,3384.6,3418.5,3430.0,3470.0,3500.0,3528.5,3568.5,3609.3,3656.2,3759.3,3823.9,3933.1,4007.7,4171.6,4248.5,4482.3,4651.6,4945.4,5087.7,5332.3,5493.1,5693.1,5797.7,6029.3,6133.9,6301.6,6403.9,6533.1,6638.5,6806.2,6875.4,7003.1,7037.0,7202.4,7318.5,7439.3,7521.6,7697.8,7805.4,7993.1,8104.7,8341.6,8492.4,8728.5,8870.8,9074.7,9219.3,9413.1,9562.4,9734.7,9872.4,10055.5,10155.5,10294.7,10368.5,10512.4,10602.4,10710.9,10796.2,10907.8,10972.4,11093.9,11160.1,11240.9,11304.7,11377.8,11427.0,11510.9
Tarapaca,01,Camina,01402,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.5,290.9,581.8,727.3,727.3,872.7,1163.6,1163.6,1818.2,2109.1,2400.0,2545.5,2618.2,2690.9,3127.3,3127.3,2836.4,3054.5,3054.5,3054.5,3127.3,3636.4,4145.5,4218.2,4290.9,4290.9,4290.9,4290.9,4290.9,4290.9,4290.9,4290.9,4290.9,4363.6,4363.6,4363.6,4509.1,4727.3,4727.3,4800.0,4800.0,4872.7,4872.7,4872.7,4872.7,4945.5,5090.9,5236.4,5236.4,5527.3,5890.9,6181.8,6181.8,6254.5,6327.3,6327.3,6400.0,6400.0,6400.0,6400.0,6400.0,6545.5,6618.2,6690.9,6690.9,7272.7,7490.9,7636.4,7709.1,7709.1,7709.1,7781.8,7781.8,8145.5,8218.2,8290.9,8290.9,8290.9,8727.3,8872.7,8872.7,9018.2,9163.6,9527.3,9527.3,9600.0,9745.5,9745.5,9745.5,9745.5,9818.2,9818.2,9963.6,10400.0,10763.6,10909.1,11200.0,11709.1,11781.8,11854.5,11854.5,12218.2,12363.6,12509.1,12654.5,13309.1,13745.5,14109.1,14400.0,14690.9,14909.1,14836.4,14981.8,14981.8,15054.5,15127.3
Tarapaca,01,Colchane,01403,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,63.2,252.7,315.9,631.7,1010.7,1642.5,2716.4,3411.2,3663.9,3853.4,4548.3,4864.2,4927.4,4990.5,5432.7,5622.2,5811.7,5811.7,5874.9,5874.9,5874.9,6064.4,6064.4,6127.6,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6190.8,6380.3,6380.3,6443.5,6443.5,6443.5,6443.5,6506.6,6506.6,6569.8,6633.0,6885.7,6885.7,6885.7,6948.8,7075.2,7201.5,7201.5,7201.5,7201.5,7201.5,7264.7,7264.7,7391.0,7454.2,7454.2,7517.4,7706.9,7706.9,7896.4,7959.6,7959.6,8022.7,8085.9,8085.9,8085.9,8085.9,8085.9,8149.1,8149.1,8212.3,8212.3,8275.4,8275.4,8275.4,8275.4,8338.6,8338.6,8338.6,8464.9,8528.1,8591.3,8717.6,8654.5,8654.5,8654.5,8654.5,8654.5,8780.8,8844.0,8780.8,8780.8,8780.8,8780.8,8907.1,8907.1,8907.1,8907.1,9096.7,9096.7,9096.7,9096.7,9096.7
Tarapaca,01,Huara,01404,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,300.0,433.3,500.0,600.0,633.3,1000.0,1033.3,1100.0,1233.3,1333.3,1366.7,1833.3,2100.0,2166.7,2266.7,2600.0,3066.7,3500.0,3866.7,4166.7,4400.0,4433.3,4500.0,4466.7,4533.3,4533.3,4833.3,4933.3,5000.0,5133.3,5300.0,5366.7,5366.7,5400.0,5400.0,5466.7,5466.7,5466.7,5466.7,5466.7,5466.7,5566.7,5566.7,5600.0,5600.0,5600.0,5633.3,5666.7,5666.7,5733.3,5766.7,6100.0,6266.7,6266.7,6600.0,6633.3,6633.3,6633.3,6633.3,6666.7,6766.7,7033.3,7166.7,7166.7,7233.3,7233.3,7300.0,7300.0,7300.0,7400.0,7666.7,8066.7,8700.0,9066.7,9333.3,9333.3,9433.3,9433.3,9733.3,10333.3,10500.0,10900.0,11066.7,11133.3,11266.7,11300.0,11400.0,11533.3,11500.0,11633.3,11700.0,11700.0,11833.3,12033.3,12333.3,12566.7,12633.3,12633.3,12833.3,12933.3,12966.7,12966.7,13000.0,13033.3,13066.7,13166.7,13200.0,13333.3,13366.7,13400.0,13433.3,13600.0,13866.7,14000.0,14200.0,14266.7,14300.0,14366.7,14366.7,14433.3,14766.7
