Fecha,Serie,Casos
2020-03-01,Casos nuevos,
2020-03-02,Casos nuevos,1.0
2020-03-03,Casos nuevos,2.0
2020-03-04,Casos nuevos,1.0
2020-03-05,Casos nuevos,1.0
2020-03-06,Casos nuevos,1.0
2020-03-07,Casos nuevos,2.0
2020-03-08,Casos nuevos,3.0
2020-03-09,Casos nuevos,6.0
2020-03-10,Casos nuevos,5.0
2020-03-11,Casos nuevos,11.0
2020-03-12,Casos nuevos,10.0
2020-03-13,Casos nuevos,18.0
2020-03-14,Casos nuevos,14.0
2020-03-15,Casos nuevos,81.0
2020-03-16,Casos nuevos,45.0
2020-03-17,Casos nuevos,37.0
2020-03-18,Casos nuevos,103.0
2020-03-19,Casos nuevos,93.0
2020-03-20,Casos nuevos,103.0
2020-03-21,Casos nuevos,95.0
2020-03-22,Casos nuevos,114.0
2020-03-23,Casos nuevos,176.0
2020-03-24,Casos nuevos,220.0
2020-03-25,Casos nuevos,164.0
2020-03-26,Casos nuevos,304.0
2020-03-27,Casos nuevos,299.0
2020-03-28,Casos nuevos,230.0
2020-03-29,Casos nuevos,310.0
2020-03-30,Casos nuevos,289.0
2020-03-31,Casos nuevos,293.0
2020-04-01,Casos nuevos,373.0
2020-04-02,Casos nuevos,333.0
2020-04-03,Casos nuevos,424.0
2020-04-04,Casos nuevos,310.0
2020-04-05,Casos nuevos,344.0
2020-04-06,Casos nuevos,301.0
2020-04-07,Casos nuevos,430.0
2020-04-08,Casos nuevos,426.0
2020-04-09,Casos nuevos,529.0
2020-04-10,Casos nuevos,426.0
2020-04-11,Casos nuevos,286.0
2020-04-12,Casos nuevos,312.0
2020-04-13,Casos nuevos,392.0
2020-04-14,Casos nuevos,356.0
2020-04-15,Casos nuevos,534.0
2020-04-16,Casos nuevos,445.0
2020-04-17,Casos nuevos,478.0
2020-04-18,Casos nuevos,358.0
2020-04-19,Casos nuevos,419.0
2020-04-20,Casos nuevos,325.0
2020-04-21,Casos nuevos,464.0
2020-04-22,Casos nuevos,516.0
2020-04-23,Casos nuevos,494.0
2020-04-24,Casos nuevos,552.0
2020-04-25,Casos nuevos,473.0
2020-04-26,Casos nuevos,482.0
2020-04-27,Casos nuevos,552.0
2020-04-28,Casos nuevos,770.0
2020-04-29,Casos nuevos,888.0
2020-04-30,Casos nuevos,985.0
2020-05-01,Casos nuevos,1427.0
2020-05-02,Casos nuevos,1228.0
2020-05-03,Casos nuevos,980.0
2020-05-04,Casos nuevos,1373.0
2020-05-05,Casos nuevos,1032.0
2020-05-06,Casos nuevos,1533.0
2020-05-07,Casos nuevos,1391.0
2020-05-08,Casos nuevos,1247.0
2020-05-09,Casos nuevos,1647.0
2020-05-10,Casos nuevos,1197.0
2020-05-11,Casos nuevos,1643.0
2020-05-12,Casos nuevos,2660.0
2020-05-13,Casos nuevos,2659.0
2020-05-14,Casos nuevos,2502.0
2020-05-15,Casos nuevos,1886.0
2020-05-16,Casos nuevos,2353.0
2020-05-17,Casos nuevos,2278.0
2020-05-18,Casos nuevos,3520.0
2020-05-19,Casos nuevos,4038.0
2020-05-20,Casos nuevos,3964.0
2020-05-21,Casos nuevos,4276.0
2020-05-22,Casos nuevos,3536.0
2020-05-23,Casos nuevos,3709.0
2020-05-24,Casos nuevos,4895.0
2020-05-25,Casos nuevos,3964.0
2020-05-26,Casos nuevos,4328.0
2020-05-27,Casos nuevos,4654.0
2020-05-28,Casos nuevos,3695.0
2020-05-29,Casos nuevos,4220.0
2020-05-30,Casos nuevos,4830.0
2020-05-31,Casos nuevos,5471.0
2020-06-01,Casos nuevos,3257.0
2020-06-02,Casos nuevos,4942.0
2020-06-03,Casos nuevos,4664.0
2020-06-04,Casos nuevos,4207.0
2020-06-05,Casos nuevos,5246.0
2020-06-06,Casos nuevos,6405.0
2020-06-07,Casos nuevos,4696.0
2020-06-08,Casos nuevos,3913.0
2020-06-09,Casos nuevos,5737.0
2020-06-10,Casos nuevos,5596.0
2020-06-11,Casos nuevos,6754.0
2020-06-12,Casos nuevos,6509.0
2020-06-13,Casos nuevos,6938.0
2020-06-14,Casos nuevos,5143.0
2020-06-15,Casos nuevos,5013.0
2020-06-16,Casos nuevos,4757.0
2020-06-17,Casos nuevos,4475.0
2020-06-18,Casos nuevos,6290.0
2020-06-19,Casos nuevos,5355.0
2020-06-20,Casos nuevos,5607.0
2020-06-21,Casos nuevos,4608.0
2020-06-22,Casos nuevos,3804.0
2020-06-23,Casos nuevos,3649.0
2020-06-24,Casos nuevos,4648.0
2020-06-25,Casos nuevos,4296.0
2020-06-26,Casos nuevos,4406.0
2020-06-27,Casos nuevos,4216.0
