Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29,2022-04-05,2022-04-12,2022-04-19,2022-04-26
Tarapaca,1.0,Iquique,1101.0,223463.0,138,108,101,123,100,147,132,127,156,183,242,405,457,801,1154,1138,1011,924,709,673,636,559,554,620,736,805,855,868,749,639,620,577,538,477,379,413,367,383,267,220,191,124,111,99,94,80,84,50,42,50,52,82,82,123,130,148,157,168,275,149,135,103,77,75,87,712,1305,2320,2641,2504,1635,998,712,604.0,484.0,355.0,310.0,256.0,149.0,103.0,91.0,92
Tarapaca,1.0,Alto Hospicio,1107.0,129999.0,49,48,40,52,37,36,40,34,58,74,104,126,190,276,451,477,417,362,279,282,230,231,204,216,243,312,328,368,316,349,313,277,267,226,246,188,197,225,172,134,121,66,78,81,99,66,71,39,29,26,28,31,29,41,37,48,62,77,102,91,83,41,31,62,38,166,460,1212,1240,1227,853,439,266,174.0,166.0,113.0,101.0,73.0,44.0,36.0,30.0,19
Tarapaca,1.0,Pozo Almonte,1401.0,17395.0,14,11,4,7,4,16,25,8,6,18,17,15,16,32,53,59,37,41,67,43,33,43,31,44,23,47,33,46,49,28,39,25,30,20,30,28,32,48,19,10,18,7,4,7,17,13,7,7,9,16,11,5,15,1,10,15,6,8,4,15,15,2,16,7,5,18,81,165,211,227,141,101,67,39.0,29.0,20.0,10.0,21.0,26.0,26.0,9.0,3
Tarapaca,1.0,Camina,1402.0,1375.0,1,1,1,-,-,2,2,2,3,1,-,0,-,1,-,6,-,-,-,5,1,2,-,2,-,-,-,2,2,5,3,2,1,1,1,4,3,5,1,-,5,-,-,1,-,1,1,1,1,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,0,-,-,21,24,0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tarapaca,1.0,Colchane,1403.0,1583.0,1,-,-,-,-,-,-,-,2,1,-,3,1,-,1,4,-,3,1,-,-,-,-,-,-,1,-,-,1,4,-,-,-,3,1,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,3,3,9,3,-,1,-,-,2,29,10,0,11,4,4,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0
Tarapaca,1.0,Huara,1404.0,3000.0,6,1,-,2,3,5,2,1,-,2,11,2,1,2,5,16,18,6,-,18,20,3,2,3,7,3,14,14,4,5,-,-,5,5,2,9,10,4,4,2,8,2,5,-,1,3,1,-,-,-,1,-,-,7,6,4,2,1,-,-,1,4,-,-,-,2,7,25,31,39,22,5,7,13.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1
Tarapaca,1.0,Pica,1405.0,5958.0,7,3,2,3,2,9,6,3,1,1,2,8,4,4,30,34,43,27,12,10,21,14,21,28,26,16,23,32,22,38,41,21,19,21,28,13,34,19,16,12,8,6,5,8,6,3,3,7,5,-,2,2,2,3,4,8,7,5,5,3,6,2,7,3,-,4,32,119,128,178,62,56,34,14.0,9.0,22.0,10.0,3.0,3.0,4.0,1.0,6
Antofagasta,2.0,Antofagasta,2101.0,425725.0,215,223,205,204,178,154,131,111,115,97,203,277,314,629,1173,1434,1488,1312,1151,1057,869,859,737,769,897,760,718,810,702,623,532,427,442,420,539,548,509,522,422,367,267,139,151,116,131,58,56,40,52,62,47,147,101,70,171,151,217,302,322,246,219,240,167,179,172,212,595,2135,3780,5139,4644,3565,2201,1746.0,1283.0,947.0,810.0,620.0,458.0,315.0,129.0,140
Antofagasta,2.0,Mejillones,2102.0,14776.0,4,12,10,2,6,3,4,3,-,2,6,9,8,10,18,31,70,82,61,49,62,66,46,51,42,33,28,27,24,33,13,34,48,33,40,32,27,32,17,23,19,9,9,4,5,6,15,3,6,13,21,11,26,45,61,50,46,5,10,10,6,5,-,4,1,7,30,70,88,258,209,165,77,61.0,47.0,54.0,31.0,17.0,10.0,2.0,1.0,6
Antofagasta,2.0,Sierra Gorda,2103.0,1746.0,1,3,1,-,-,-,-,-,-,-,-,5,-,-,1,-,-,-,-,2,2,2,2,-,-,-,-,2,1,3,3,5,1,2,2,1,1,2,1,2,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,3,1,1,1,-,-,16,1,-,-,-,2,7,15,34,40,22,14,5.0,8.0,7.0,7.0,4.0,0.0,4.0,1.0,1
