Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05
Arica y Parinacota,15,Arica,15101,247552,94.2,96.5,96.5,96.0,95.6,95.2,94.0,94.7,95.0,95.5,96.5,94.4,93.9,93.5,95.0,94.2,95.1,93.4,94.9,95.6,94.3,92.0,92.8,93.9,95.1,96.7,96.8,93.6,97.7,97.4,95.0,88.1,90.6,90.3,92.3,95.1,94.9,95.1,93.5,92.5,92.9,91.9,89.5,84.6,89.3,89.9
Arica y Parinacota,15,Camarones,15102,1233,100.0,87.5,100.0,100.0,66.7,97.9,100.0,94.0,91.9,95.0,100.0,100.0,100.0,91.7,90.3,100.0,100.0,90.9,100.0,100.0,93.5,87.3,92.9,100.0,100.0,100.0,100.0,95.1,96.6,100.0,100.0,91.7,92.3,100.0,98.2,96.5,100.0,100.0,100.0,98.1,100.0,93.0,100.0,95.8,97.8,94.1
Arica y Parinacota,15,General Lagos,15202,810,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,100.0,100.0,100.0,100.0,,100.0,100.0,,,66.7,100.0,,100.0,91.7,76.9,100.0,100.0,87.5,100.0,100.0,100.0,88.9,88.2,86.2,100.0
Arica y Parinacota,15,Putre,15201,2515,98.0,100.0,100.0,100.0,99.2,97.8,95.7,97.5,100.0,100.0,100.0,99.1,100.0,96.5,90.7,97.5,100.0,100.0,97.8,100.0,55.7,97.7,97.3,98.7,99.0,98.4,100.0,98.9,100.0,98.7,100.0,99.2,100.0,100.0,99.3,95.7,92.8,94.2,98.7,92.0,90.8,85.2,90.9,95.7,89.5,85.7
Tarapaca,01,Alto Hospicio,01107,129999,94.0,94.8,96.8,95.6,94.8,94.9,90.4,91.4,93.2,96.1,95.9,96.1,91.6,96.4,96.3,95.0,84.7,90.8,92.7,92.9,83.7,90.0,90.0,96.1,98.4,99.0,97.7,96.9,94.7,98.3,95.3,93.5,97.5,97.2,96.3,97.0,96.8,97.2,94.9,95.4,94.4,93.5,94.2,91.5,90.6,90.0
Tarapaca,01,Camina,01402,1375,93.5,100.0,100.0,63.6,36.4,71.4,93.1,97.6,100.0,93.3,92.9,82.8,95.5,100.0,100.0,100.0,14.3,100.0,100.0,94.1,88.9,95.8,93.1,100.0,100.0,95.0,85.7,90.0,76.2,88.9,90.9,100.0,100.0,100.0,100.0,100.0,100.0,92.3,100.0,92.3,81.2,94.1,60.0,36.0,100.0,83.3
Tarapaca,01,Colchane,01403,1583,75.0,75.0,100.0,75.0,100.0,0.0,0.0,100.0,100.0,0.0,16.7,5.3,86.7,84.6,100.0,100.0,20.0,83.3,100.0,100.0,100.0,100.0,100.0,91.7,100.0,100.0,90.0,57.1,83.3,100.0,25.0,100.0,100.0,100.0,100.0,68.8,100.0,100.0,100.0,100.0,100.0,85.7,100.0,100.0,100.0,100.0
Tarapaca,01,Huara,01404,3000,96.2,97.0,89.3,90.6,93.2,93.8,74.2,87.0,91.4,77.5,10.9,8.5,34.2,92.6,72.4,93.0,93.8,77.3,92.3,95.0,50.9,98.8,90.4,95.7,85.7,100.0,98.4,97.8,97.1,100.0,95.3,80.6,100.0,85.7,100.0,100.0,96.0,100.0,95.2,98.2,95.8,100.0,100.0,100.0,96.4,92.5
Tarapaca,01,Iquique,01101,223463,94.0,95.0,94.1,94.4,85.2,86.7,78.1,70.9,77.0,71.2,66.7,79.4,73.2,69.5,69.0,69.1,62.0,66.9,81.0,82.5,74.8,80.4,74.7,96.3,99.1,98.7,98.4,96.8,96.4,98.5,85.4,78.6,95.3,91.4,98.1,99.2,99.1,99.3,97.9,97.9,97.0,96.2,96.6,97.0,96.7,96.5
Tarapaca,01,Pica,01405,5958,94.4,97.8,98.8,92.2,98.8,97.0,91.2,88.9,97.9,90.9,89.7,96.5,94.2,98.0,97.3,63.2,96.7,87.9,93.1,86.4,84.6,88.3,92.9,99.3,98.2,98.3,99.3,97.8,97.8,99.2,96.0,93.5,91.9,98.5,98.1,100.0,97.1,94.3,92.9,83.5,80.6,72.6,88.3,83.7,85.5,78.9
