Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05
Arica y Parinacota,15,Arica,15101,247552,98.1,,,,,,,,,,,,,,,,,99.2,97.1,96.5,98.0,96.4,99.0,93.5,93.7,98.7,97.5,99.4,98.0,98.5,99.3,98.0,88.0,96.6,97.1,98.2,97.2,97.9,99.0,98.6,98.7,98.9,99.5,99.5,99.5,98.9
Arica y Parinacota,15,Camarones,15102,1233,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,0.0,100.0,100.0,100.0,,,100.0,100.0,100.0,,100.0,,100.0,100.0,,100.0,100.0,100.0,100.0,100.0
Arica y Parinacota,15,General Lagos,15202,810,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,,,,,100.0,100.0,100.0
Arica y Parinacota,15,Putre,15201,2515,100.0,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0
Tarapaca,01,Alto Hospicio,01107,129999,92.9,89.4,93.8,95.6,94.1,100.0,98.0,100.0,96.8,95.7,100.0,98.3,89.1,94.3,100.0,90.1,97.8,95.8,98.0,98.9,98.2,98.2,98.4,96.1,98.1,96.6,93.9,97.3,97.4,96.7,92.9,95.5,95.6,93.0,97.0,95.4,97.5,98.1,99.5,97.5,100.0,100.0,99.3,100.0,99.2,98.7
Tarapaca,01,Camina,01402,1375,100.0,,,,,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Tarapaca,01,Colchane,01403,1583,100.0,0.0,,,,,,,,,,,,100.0,100.0,100.0,,100.0,100.0,,,,100.0,100.0,100.0,,100.0,0.0,,,,100.0,,100.0,100.0,100.0,,,,100.0,,0.0,,,100.0,
Tarapaca,01,Huara,01404,3000,75.0,100.0,100.0,100.0,0.0,,100.0,100.0,,100.0,100.0,100.0,66.7,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,96.8,100.0,100.0,50.0,88.2,100.0,75.0,100.0,66.7,100.0,57.1,66.7,100.0,40.0,100.0,100.0,100.0,80.0,100.0,50.0,85.7,80.0,100.0,100.0
Tarapaca,01,Iquique,01101,223463,96.8,91.0,95.3,97.9,97.8,96.2,98.4,96.6,98.9,98.0,98.2,95.3,92.5,97.9,97.1,96.3,97.6,96.6,98.5,98.4,97.0,97.0,97.8,95.3,95.3,97.2,93.7,98.3,97.6,95.9,95.2,96.6,93.2,93.8,93.0,96.1,97.1,98.7,98.2,98.1,99.7,99.7,100.0,99.3,100.0,99.4
Tarapaca,01,Pica,01405,5958,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,75.0,100.0,100.0,100.0,94.4,100.0,85.7,91.7,100.0,93.3,100.0,100.0,100.0,71.4,87.5,100.0,62.5,91.7,91.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
