Region,Codigo region,Comuna,Codigo comuna,Nacimientos,Fecha
Tarapacá,1,Iquique,1101,28,2021-01-04
Tarapacá,1,Iquique,1101,13,2021-01-05
Tarapacá,1,Iquique,1101,17,2021-01-06
Tarapacá,1,Iquique,1101,14,2021-01-07
Tarapacá,1,Iquique,1101,16,2021-01-08
Tarapacá,1,Iquique,1101,22,2021-01-11
Tarapacá,1,Iquique,1101,22,2021-01-12
Tarapacá,1,Iquique,1101,21,2021-01-13
Tarapacá,1,Iquique,1101,19,2021-01-14
Tarapacá,1,Iquique,1101,10,2021-01-15
Tarapacá,1,Iquique,1101,20,2021-01-18
Tarapacá,1,Iquique,1101,13,2021-01-19
Tarapacá,1,Iquique,1101,19,2021-01-20
Tarapacá,1,Iquique,1101,13,2021-01-21
Tarapacá,1,Iquique,1101,12,2021-01-22
Tarapacá,1,Iquique,1101,27,2021-01-25
Tarapacá,1,Iquique,1101,16,2021-01-26
Tarapacá,1,Iquique,1101,11,2021-01-27
Tarapacá,1,Iquique,1101,17,2021-01-28
Tarapacá,1,Iquique,1101,11,2021-01-29
Tarapacá,1,Iquique,1101,16,2021-02-01
Tarapacá,1,Iquique,1101,24,2021-02-02
Tarapacá,1,Iquique,1101,12,2021-02-03
Tarapacá,1,Iquique,1101,16,2021-02-04
Tarapacá,1,Iquique,1101,13,2021-02-05
Tarapacá,1,Iquique,1101,27,2021-02-08
Tarapacá,1,Iquique,1101,17,2021-02-09
Tarapacá,1,Iquique,1101,14,2021-02-10
Tarapacá,1,Iquique,1101,10,2021-02-11
Tarapacá,1,Iquique,1101,14,2021-02-12
Tarapacá,1,Iquique,1101,24,2021-02-15
Tarapacá,1,Iquique,1101,6,2021-02-16
Tarapacá,1,Iquique,1101,10,2021-02-17
Tarapacá,1,Iquique,1101,9,2021-02-18
Tarapacá,1,Iquique,1101,19,2021-02-19
Tarapacá,1,Iquique,1101,20,2021-02-22
Tarapacá,1,Iquique,1101,19,2021-02-23
Tarapacá,1,Iquique,1101,16,2021-02-24
Tarapacá,1,Iquique,1101,12,2021-02-25
