Region,Casos totales acumulados,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,54101,660,52870,10915,471,3442,1,81,47,33,1,40,410
Tarapacá,78239,956,76864,9347,307,10393,0,69,34,19,16,15,303
Antofagasta,118801,1443,116037,9140,506,6820,0,251,123,96,32,71,1050
Atacama,62728,444,61067,14473,231,1743,0,236,105,72,59,134,1139
Coquimbo,118640,1314,114913,16999,387,9396,9,686,484,118,84,181,2180
Valparaíso,287561,4190,277129,52695,860,50201,4,1391,791,158,442,509,5548
Metropolitana,1290886,21645,1248143,177835,8479,161544,8,4076,2361,496,1219,1121,17151
O’Higgins,141095,1865,135623,28369,443,14804,1,840,557,179,104,324,3267
Maule,224861,2227,216077,55568,603,10645,6,1538,1025,334,179,574,6140
Ñuble,93920,838,90419,21720,354,10176,2,576,364,46,166,228,2487
Biobío,331895,3394,319016,50726,1127,35957,2,2078,1138,346,594,615,8823
Araucanía,205058,1870,198847,32414,875,11317,0,1005,568,169,268,220,3875
Los Ríos,101912,927,98812,19308,473,6034,0,489,272,71,146,213,1947
Los Lagos,186126,1837,180441,22091,769,16328,3,821,410,150,261,273,3431
Aysén,23570,142,22746,6667,549,1786,0,173,82,87,4,98,640
Magallanes,49268,587,47701,4568,885,3296,0,215,144,12,59,48,829
Se desconoce región de origen,43,0,42,0,0,0,0,0,0,0,0,0,0
Total,3368704,44339,3256747,532835,17319,353882,36,14525,8505,2386,3634,4664,59220
