Region,Codigo region,Poblacion,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10
Arica y Parinacota,15,252110,241,132,116,113,166,210,213,172,142,105,102,220,147,175,160,160,144,136,195,194,232,300,260,271,645,392,429,428,460,443,444,464,473,645,507,635,493,486,459,392,537,538,497,373,467,446,445,500,483,500,476,461,466,562,622,544,475,517,486,485,517,523,608,555,556,492,99,821,595,620,596,596,826,318,785,573,618,897,901,489,609,575,751,652,655,413,612,533,503,566,463,908,467,998,452,625,650,919
Tarapaca,01,382773,93,71,22,28,118,82,82,73,57,40,18,91,63,69,54,39,46,73,31,109,68,125,71,41,33,52,139,111,140,110,88,104,162,106,95,155,124,106,88,163,140,122,128,103,117,101,170,193,172,165,158,122,121,162,176,181,148,144,129,111,144,157,159,203,142,117,140,213,169,184,568,316,177,169,180,460,240,463,614,132,154,274,304,262,332,224,144,225,419,264,304,337,161,168,174,379,232,449
Antofagasta,02,691854,29,39,24,32,46,33,42,29,30,22,22,48,31,33,30,21,22,21,39,59,34,27,20,31,77,41,59,38,29,22,23,17,23,42,30,119,102,107,118,95,111,87,69,89,138,152,120,95,112,69,63,124,113,132,165,188,90,137,60,168,137,132,109,166,160,97,108,121,141,154,75,101,215,208,159,143,383,407,468,479,519,527,520,479,519,857,804,761,721,756,989,715,839,686,606,694,792,885
Atacama,03,314709,61,55,67,62,79,50,77,63,57,59,72,58,46,79,52,62,69,64,76,97,40,77,88,74,61,85,114,88,83,72,86,83,100,65,104,95,69,60,86,108,92,85,73,50,72,62,95,90,95,86,52,65,61,68,68,89,80,80,61,68,80,92,94,93,44,49,44,138,85,88,95,66,49,68,121,87,78,82,54,56,64,117,105,73,81,65,45,53,103,91,65,65,53,62,48,100,69,64
Coquimbo,04,836096,138,118,68,55,81,115,132,151,143,89,110,227,98,137,140,125,53,61,85,150,116,94,117,108,99,85,128,134,151,87,79,80,157,122,116,158,100,46,51,89,76,156,92,58,78,59,77,141,119,99,115,93,24,71,50,60,68,91,100,52,91,81,120,92,85,86,42,108,133,73,69,50,59,64,116,136,101,105,158,65,35,200,128,100,249,85,67,27,139,146,98,118,122,55,24,63,129,99
Valparaiso,05,1960170,326,286,140,115,372,389,395,379,356,158,162,441,409,460,410,453,228,306,303,775,500,543,367,167,177,188,586,634,547,430,132,362,643,637,820,516,354,179,236,500,420,474,401,185,278,375,658,606,549,540,359,297,401,755,798,756,569,472,309,523,471,666,658,607,538,375,490,691,933,699,816,635,488,208,446,705,653,402,466,152,311,595,549,1144,670,509,296,593,869,927,579,687,653,474,444,1064,814,1031
Metropolitana,13,8125072,3551,2963,1669,1536,3385,3348,3085,2990,2665,1622,1417,3168,2853,2687,2922,2444,1400,951,1272,2807,2074,2193,1642,1121,1024,1103,2439,2181,2071,1955,1068,877,2007,1719,1709,1867,1444,796,868,1811,1742,1647,1606,750,690,818,1952,2172,1861,1776,1508,672,790,1704,1809,1666,1581,1602,833,682,1601,1878,1587,1532,1359,688,616,1760,1707,1753,1652,1484,793,812,1787,1695,1392,1277,1616,741,760,1949,1683,1658,1786,1609,735,709,1572,1698,1489,1520,1378,649,643,1757,1553,1407
Del Libertador General Bernardo O’Higgins,06,991063,237,218,155,94,288,282,249,253,265,148,106,314,312,282,341,235,144,82,166,284,246,269,240,94,89,127,278,239,238,225,119,118,223,252,210,233,180,71,93,245,192,232,197,65,83,67,229,287,303,315,201,88,89,218,266,183,230,217,63,82,217,195,406,182,147,51,68,314,183,346,206,203,90,61,313,212,194,175,177,66,75,230,235,249,265,240,59,67,168,294,225,338,403,50,80,291,201,189
Maule,07,1131939,798,729,509,250,1025,801,760,877,817,642,300,919,790,741,758,752,457,211,480,811,716,729,639,577,222,374,704,589,682,627,397,236,733,769,732,726,750,665,212,916,851,800,715,576,608,238,1062,955,862,838,849,631,231,1000,772,818,731,794,657,238,795,919,924,846,883,549,205,939,685,826,716,704,567,201,720,622,696,717,536,488,215,752,556,590,627,524,422,162,669,553,493,517,601,325,174,538,531,551
Nuble,16,511551,78,89,34,26,81,77,56,102,60,49,36,84,80,79,80,75,42,14,34,59,56,88,79,11,14,8,73,69,89,81,24,12,80,84,91,101,118,32,34,79,68,94,70,26,41,14,92,77,114,80,96,49,37,90,96,128,109,75,36,13,75,104,96,81,97,46,37,104,95,155,76,152,30,18,109,183,199,201,157,25,35,114,687,82,598,205,66,30,193,84,62,50,90,38,12,112,55,140
Biobio,08,1663696,344,260,154,123,280,296,278,228,274,241,139,293,288,287,265,235,266,157,197,326,265,247,253,208,200,182,299,302,289,262,211,197,299,290,257,227,261,168,167,276,270,224,217,150,176,162,324,351,258,238,224,172,112,230,239,313,279,197,128,151,197,252,230,210,234,127,144,248,384,356,422,370,141,146,416,280,352,331,361,115,121,247,478,275,440,318,233,123,287,321,304,353,235,109,110,363,293,389
La Araucania,09,1014343,231,249,238,184,242,284,315,261,281,267,213,263,280,304,279,301,248,231,228,311,363,346,279,222,209,280,314,347,294,243,235,220,313,271,255,240,200,207,167,307,280,315,325,173,250,224,350,307,316,381,317,219,266,389,306,343,376,269,235,248,270,315,336,292,326,184,191,332,298,285,360,326,291,199,360,293,325,352,478,105,168,549,271,428,324,341,204,196,420,383,420,449,389,204,146,425,319,308
Los Rios,14,405835,216,154,101,110,202,196,217,226,253,140,115,245,249,203,196,178,109,107,141,227,277,212,175,95,84,89,195,181,194,113,115,88,176,165,210,153,114,102,86,168,151,166,186,93,89,82,191,165,162,165,136,101,100,212,180,162,162,140,82,72,140,162,136,123,109,79,82,168,144,155,145,107,97,86,155,143,147,115,184,92,90,174,156,125,117,100,75,78,450,127,395,121,145,89,70,150,225,343
Los Lagos,10,891440,169,129,9,56,107,157,161,161,172,13,7,155,112,155,193,204,13,21,14,166,187,112,126,12,8,10,145,228,188,105,25,4,239,141,191,96,108,43,59,225,148,190,134,82,61,46,157,153,118,149,176,52,43,328,175,270,171,270,75,69,270,281,317,232,131,57,64,209,150,161,147,113,51,59,263,171,183,126,243,61,101,180,125,403,113,257,70,64,245,218,233,282,771,91,77,336,494,419
Aysen,11,107297,49,56,24,23,81,52,53,89,63,44,35,86,47,54,70,90,25,28,43,72,97,42,50,35,31,37,51,35,35,46,16,20,31,32,40,39,38,7,26,30,40,30,32,18,18,26,55,34,32,35,41,16,21,41,45,29,36,28,18,27,28,50,39,42,48,24,21,47,41,41,46,52,23,30,75,147,164,55,34,21,11,91,146,55,298,37,21,15,308,54,128,48,53,14,27,57,56,46
Magallanes y la Antartica,12,178362,134,204,93,7,128,127,141,131,225,114,7,175,153,240,181,239,103,9,100,246,182,111,203,94,27,90,301,290,265,223,105,24,298,224,191,166,159,102,22,237,223,257,307,93,90,26,300,156,232,127,179,121,28,300,273,288,276,262,150,54,262,429,288,258,226,112,56,296,409,346,286,337,213,72,511,586,435,339,315,116,51,327,420,413,346,245,120,99,357,329,339,325,237,138,97,388,348,346
Se desconoce región de origen,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
