Region,Casos totales acumulados,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,54173,660,52952,10949,474,3443,1,72,51,15,6,35,399
Tarapacá,78307,956,76932,9363,308,10393,0,69,32,20,17,16,303
Antofagasta,118988,1446,116252,9184,508,6819,0,198,80,71,47,45,1019
Atacama,62934,445,61317,14569,233,1743,0,195,93,30,72,96,1094
Coquimbo,119139,1315,115458,17165,392,9396,8,482,345,91,46,165,2131
Valparaíso,288785,4208,278494,53122,863,50199,3,1188,705,152,331,428,5387
Metropolitana,1294858,21676,1252143,178742,8535,161542,6,3466,1996,428,1042,906,17068
O’Higgins,141839,1867,136374,28689,449,14805,2,746,503,154,89,320,3254
Maule,226074,2237,217602,56052,611,10648,7,1202,786,255,161,480,5815
Ñuble,94470,843,90972,21903,357,10174,0,549,368,31,150,183,2478
Biobío,333694,3402,321025,51202,1133,35956,2,1785,921,373,491,474,8598
Araucanía,206075,1876,199899,32602,887,11318,1,991,541,154,296,185,3833
Los Ríos,102267,930,99273,19460,475,6034,0,355,212,45,98,151,1836
Los Lagos,186962,1849,181258,22310,774,16328,3,833,386,202,245,218,3436
Aysén,23662,143,22853,6735,554,1786,0,88,47,33,8,65,624
Magallanes,49411,587,47864,4599,893,3296,0,138,82,21,35,31,809
Se desconoce región de origen,43,0,42,0,0,0,0,0,0,0,0,0,0
Total,3381681,44440,3270710,536646,17446,353880,33,12357,7148,2075,3134,3798,58084
