Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,56072,672,140,812,54997,12116,520,3440,1,44,26,17,1,13,184
Tarapacá,80313,971,118,1089,79029,10004,331,10395,1,41,20,11,10,25,136
Antofagasta,125218,1481,286,1767,122800,11052,715,6823,1,141,64,54,23,66,554
Atacama,67406,477,113,590,66431,16924,288,1745,0,108,49,28,31,72,384
Coquimbo,129898,1390,291,1681,127449,21574,464,9382,0,233,176,45,12,152,718
Valparaíso,319160,4424,1208,5632,310717,64834,1027,50217,4,862,540,81,241,416,2989
Metropolitana,1419041,22303,6074,28377,1378777,209330,10341,161564,6,3091,1940,215,936,1352,12558
O’Higgins,153511,1964,563,2527,150207,33724,521,14804,1,231,148,57,26,149,835
Maule,244574,2429,498,2927,240309,64054,892,10641,0,308,241,25,42,168,1171
Ñuble,102577,927,190,1117,100891,25468,423,10180,0,163,141,10,12,116,462
Biobío,359456,3614,676,4290,353104,59200,1295,35902,0,498,271,36,191,203,1698
Araucanía,218621,2011,570,2581,215508,35378,1057,11315,2,113,42,7,64,32,387
Los Ríos,106993,998,228,1226,105431,21610,550,6037,1,43,29,8,6,32,205
Los Lagos,196246,1955,371,2326,193452,24633,2772,16333,1,51,28,12,11,24,189
Aysén,25317,158,27,185,25028,7668,705,1796,0,14,12,1,1,7,56
Magallanes,52742,603,103,706,51730,5653,1223,3293,0,69,51,4,14,31,213
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3657188,46377,11458,57835,3575902,623222,23124,353867,18,6010,3778,611,1621,2858,22739
