"fecha";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-04-01";416;356;465
"2020-04-02";399;350;446
"2020-04-03";384;332;429
"2020-04-04";369;322;408
"2020-04-05";326;273;370
"2020-04-06";449;402;511
"2020-04-07";398;346;443
"2020-04-08";397;355;441
"2020-04-09";418;376;477
"2020-04-10";419;370;479
"2020-04-11";360;315;409
"2020-04-12";357;313;409
"2020-04-13";550;489;617
"2020-04-14";518;466;585
"2020-04-15";604;532;675
"2020-04-16";570;518;633
"2020-04-17";569;510;626
"2020-04-18";538;482;597
"2020-04-19";529;481;597
"2020-04-20";1010;931;1111
"2020-04-21";781;697;865
"2020-04-22";819;746;883
"2020-04-23";890;798;980
"2020-04-24";1082;998;1164
"2020-04-25";1068;991;1152
"2020-04-26";1058;987;1138
"2020-04-27";1645;1536;1756
"2020-04-28";1661;1537;1768
"2020-04-29";1773;1683;1899
"2020-04-30";2163;2035;2302
"2020-05-01";2869;2726;3016
"2020-05-02";2657;2525;2783
"2020-05-03";2747;2618;2892
"2020-05-04";3900;3756;4050
"2020-05-05";3697;3517;3866
"2020-05-06";3624;3453;3748
"2020-05-07";3712;3540;3879
"2020-05-08";4255;4087;4422
"2020-05-09";4013;3853;4219
"2020-05-10";4384;4187;4559
"2020-05-11";5398;5199;5595
"2020-05-12";4932;4733;5128
"2020-05-13";4393;4232;4577
"2020-05-14";4304;4135;4495
"2020-05-15";5369;5182;5546
"2020-05-16";4702;4527;4884
"2020-05-17";4594;4431;4745
"2020-05-18";6044;5826;6229
"2020-05-19";5196;5001;5390
"2020-05-20";6061;5840;6240
"2020-05-21";4745;4540;4932
"2020-05-22";5861;5669;6087
"2020-05-23";5261;5094;5430
"2020-05-24";4635;4465;4835
"2020-05-25";6463;6213;6683
"2020-05-26";5040;4864;5236
"2020-05-27";5157;4951;5381
"2020-05-28";5247;5019;5468
"2020-05-29";5329;5174;5522
"2020-05-30";4979;4800;5138
"2020-05-31";4498;4339;4666
"2020-06-01";7266;6965;7525
"2020-06-02";4973;4784;5162
"2020-06-03";4793;4604;4975
"2020-06-04";4997;4783;5176
"2020-06-05";5359;5151;5554
"2020-06-06";4617;4427;4774
"2020-06-07";4093;3934;4236
"2020-06-08";5513;5304;5734
"2020-06-09";4433;4259;4599
"2020-06-10";4646;4468;4826
"2020-06-11";4145;3962;4303
"2020-06-12";4762;4582;4969
"2020-06-13";4306;4151;4528
"2020-06-14";3789;3579;3980
"2020-06-15";5113;4922;5289
"2020-06-16";4295;4153;4478
"2020-06-17";3908;3749;4046
"2020-06-18";4091;3903;4277
"2020-06-19";4169;3992;4365
"2020-06-20";3883;3735;4110
"2020-06-21";3224;3043;3378
"2020-06-22";3890;3678;4041
"2020-06-23";3581;3445;3741
"2020-06-24";3304;3159;3451
"2020-06-25";3250;3090;3418
"2020-06-26";3368;3208;3507
"2020-06-27";2769;2598;2904
"2020-06-28";2559;2436;2679
"2020-06-29";2755;2626;2902
"2020-06-30";3119;2967;3282
"2020-07-01";3372;3233;3531
"2020-07-02";2578;2407;2715
"2020-07-03";2679;2514;2821
"2020-07-04";2394;2266;2556
"2020-07-05";2293;2140;2446
"2020-07-06";2944;2797;3080
"2020-07-07";2497;2382;2615
"2020-07-08";2341;2241;2461
"2020-07-09";2275;2146;2412
"2020-07-10";2547;2429;2659
"2020-07-11";2055;1938;2178
"2020-07-12";1932;1818;2038
"2020-07-13";2485;2349;2626
"2020-07-14";2222;2088;2333
"2020-07-15";2154;2036;2273
"2020-07-16";1816;1705;1918
"2020-07-17";2248;2143;2349
"2020-07-18";1898;1760;2009
"2020-07-19";1645;1533;1756
"2020-07-20";2525;2385;2641
