"fecha";"region";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-04-01";15;9;5;16
"2020-04-02";15;10;4;19
"2020-04-03";15;10;5;15
"2020-04-04";15;10;3;17
"2020-04-05";15;10;5;18
"2020-04-06";15;13;6;22
"2020-04-07";15;12;6;19
"2020-04-08";15;11;5;20
"2020-04-09";15;9;5;14
"2020-04-10";15;7;1;14
"2020-04-11";15;7;3;13
"2020-04-12";15;6;2;9
"2020-04-13";15;9;5;17
"2020-04-14";15;8;3;15
"2020-04-15";15;8;3;14
"2020-04-16";15;8;4;14
"2020-04-17";15;10;5;18
"2020-04-18";15;8;2;15
"2020-04-19";15;9;4;15
"2020-04-20";15;12;6;19
"2020-04-21";15;11;6;18
"2020-04-22";15;10;5;16
"2020-04-23";15;8;2;16
"2020-04-24";15;7;3;14
"2020-04-25";15;7;3;14
"2020-04-26";15;6;2;12
"2020-04-27";15;9;3;16
"2020-04-28";15;9;4;15
"2020-04-29";15;8;4;15
"2020-04-30";15;7;2;13
"2020-05-01";15;7;2;12
"2020-05-02";15;6;1;12
"2020-05-03";15;6;2;11
"2020-05-04";15;7;2;14
"2020-05-05";15;7;1;13
"2020-05-06";15;8;3;14
"2020-05-07";15;8;3;14
"2020-05-08";15;7;2;11
"2020-05-09";15;8;4;14
"2020-05-10";15;8;3;14
"2020-05-11";15;14;6;22
"2020-05-12";15;12;6;18
"2020-05-13";15;13;7;20
"2020-05-14";15;13;6;20
"2020-05-15";15;12;8;21
"2020-05-16";15;15;7;23
"2020-05-17";15;13;7;20
"2020-05-18";15;23;16;30
"2020-05-19";15;23;13;35
"2020-05-20";15;22;12;36
"2020-05-21";15;21;10;34
"2020-05-22";15;21;15;35
"2020-05-23";15;20;13;29
"2020-05-24";15;19;10;30
"2020-05-25";15;24;14;36
"2020-05-26";15;24;14;36
"2020-05-27";15;28;21;37
"2020-05-28";15;30;21;42
"2020-05-29";15;33;22;43
"2020-05-30";15;34;21;45
"2020-05-31";15;31;22;42
"2020-06-01";15;51;36;64
"2020-06-02";15;41;26;53
"2020-06-03";15;35;25;50
"2020-06-04";15;38;21;52
"2020-06-05";15;30;17;42
"2020-06-06";15;36;23;48
"2020-06-07";15;28;18;39
"2020-06-08";15;40;27;56
"2020-06-09";15;41;29;56
"2020-06-10";15;49;29;68
"2020-06-11";15;35;24;46
"2020-06-12";15;36;22;51
"2020-06-13";15;43;25;64
"2020-06-14";15;38;26;48
"2020-06-15";15;47;33;62
"2020-06-16";15;44;28;63
"2020-06-17";15;39;26;57
"2020-06-18";15;37;24;56
"2020-06-19";15;44;35;62
"2020-06-20";15;38;25;52
"2020-06-21";15;39;26;52
"2020-06-22";15;56;44;69
"2020-06-23";15;51;39;63
"2020-06-24";15;42;31;57
"2020-06-25";15;51;34;66
"2020-06-26";15;50;36;64
"2020-06-27";15;55;43;70
"2020-06-28";15;51;37;63
"2020-06-29";15;56;42;73
"2020-06-30";15;65;53;79
"2020-07-01";15;72;55;88
"2020-07-02";15;58;41;79
"2020-07-03";15;71;56;93
"2020-07-04";15;59;43;82
"2020-07-05";15;68;53;92
"2020-07-06";15;99;78;124
"2020-07-07";15;74;59;92
"2020-07-08";15;101;79;123
"2020-07-09";15;87;71;102
"2020-07-10";15;121;96;144
"2020-07-11";15;86;68;105
"2020-07-12";15;85;65;111
"2020-07-13";15;112;89;140
"2020-07-14";15;93;66;119
"2020-07-15";15;117;94;141
"2020-07-16";15;103;85;133
"2020-07-17";15;125;105;158
"2020-07-18";15;112;88;137
"2020-07-19";15;92;72;113
"2020-07-20";15;152;129;175
"2020-07-21";15;107;78;134
"2020-07-22";15;125;106;158
"2020-07-23";15;110;89;129
"2020-07-24";15;85;68;111
"2020-07-25";15;86;70;118
"2020-07-26";15;75;59;95
"2020-07-27";15;124;99;144
"2020-07-28";15;93;76;114
"2020-07-29";15;67;49;90
"2020-07-30";15;87;62;112
"2020-07-31";15;88;67;118
"2020-08-01";15;82;69;97
"2020-08-02";15;82;57;103
"2020-08-03";15;104;89;124
"2020-08-04";15;94;74;110
"2020-08-05";15;88;62;111
"2020-08-06";15;102;83;122
"2020-08-07";15;75;52;97
"2020-08-08";15;75;57;105
"2020-08-09";15;64;49;79
"2020-08-10";15;74;53;107
"2020-08-11";15;77;58;97
"2020-08-12";15;74;51;98
"2020-08-13";15;57;45;71
"2020-08-14";15;71;54;92
"2020-08-15";15;52;35;68
"2020-08-16";15;54;38;71
"2020-08-17";15;72;51;96
"2020-08-18";15;86;70;115
"2020-08-19";15;67;53;81
"2020-08-20";15;53;33;69
"2020-08-21";15;53;35;70
"2020-08-22";15;46;33;63
"2020-08-23";15;41;25;55
"2020-08-24";15;61;46;78
"2020-08-25";15;58;42;76
"2020-08-26";15;63;46;82
"2020-08-27";15;68;51;82
"2020-08-28";15;66;48;91
"2020-08-29";15;49;36;60
"2020-08-30";15;43;31;57
"2020-08-31";15;60;42;78
"2020-09-01";15;70;48;86
"2020-09-02";15;53;36;64
"2020-09-03";15;64;50;85
"2020-09-04";15;55;44;69
"2020-09-05";15;43;25;56
"2020-09-06";15;43;33;59
"2020-09-07";15;61;44;78
"2020-09-08";15;55;41;72
"2020-09-09";15;44;28;63
"2020-09-10";15;47;30;65
"2020-09-11";15;49;34;61
"2020-09-12";15;47;35;64
"2020-09-13";15;40;29;53
"2020-09-14";15;60;46;82
"2020-09-15";15;52;39;66
"2020-09-16";15;50;35;68
"2020-09-17";15;39;27;56
"2020-09-18";15;37;28;51
"2020-09-19";15;41;30;54
"2020-09-20";15;38;26;53
"2020-09-21";15;67;51;87
"2020-09-22";15;57;46;73
"2020-09-23";15;64;39;87
"2020-09-24";15;62;43;90
"2020-09-25";15;82;67;106
"2020-09-26";15;61;48;73
"2020-09-27";15;48;33;61
"2020-09-28";15;88;62;113
"2020-09-29";15;66;51;85
"2020-09-30";15;55;36;69
"2020-10-01";15;59;43;79
"2020-10-02";15;50;31;67
"2020-10-03";15;54;34;73
"2020-10-04";15;43;25;60
"2020-10-05";15;68;50;97
"2020-10-06";15;49;25;63
"2020-10-07";15;46;31;60
"2020-10-08";15;41;29;55
"2020-10-09";15;46;32;64
"2020-10-10";15;44;31;62
"2020-10-11";15;38;24;50
"2020-10-12";15;52;38;67
"2020-10-13";15;54;39;70
"2020-10-14";15;43;28;62
"2020-10-15";15;45;31;61
"2020-10-16";15;38;24;54
"2020-10-17";15;44;28;60
"2020-10-18";15;33;19;47
"2020-10-19";15;54;40;70
"2020-10-20";15;36;25;49
"2020-10-21";15;42;28;55
"2020-10-22";15;33;23;48
"2020-10-23";15;32;22;43
"2020-10-24";15;27;18;37
"2020-10-25";15;24;15;35
"2020-10-26";15;34;25;49
"2020-10-27";15;31;19;46
"2020-10-28";15;30;19;41
"2020-10-29";15;36;20;52
"2020-10-30";15;33;18;50
"2020-10-31";15;28;17;40
"2020-11-01";15;22;14;34
"2020-11-02";15;38;26;58
"2020-11-03";15;30;19;40
"2020-11-04";15;30;20;44
"2020-11-05";15;28;18;41
"2020-11-06";15;26;17;39
"2020-11-07";15;22;14;33
"2020-11-08";15;21;13;30
"2020-11-09";15;26;16;36
"2020-11-10";15;29;22;37
"2020-11-11";15;20;14;27
"2020-11-12";15;19;12;30
"2020-11-13";15;20;12;32
"2020-11-14";15;15;9;24
"2020-11-15";15;13;6;20
"2020-11-16";15;21;13;33
"2020-11-17";15;20;11;29
"2020-11-18";15;18;10;26
"2020-11-19";15;16;10;23
"2020-11-20";15;14;6;21
"2020-11-21";15;11;5;20
"2020-11-22";15;10;5;16
"2020-11-23";15;16;7;23
"2020-11-24";15;13;4;21
"2020-11-25";15;13;5;21
"2020-11-26";15;13;8;19
"2020-11-27";15;13;8;23
"2020-11-28";15;11;5;17
"2020-11-29";15;10;5;19
"2020-11-30";15;15;9;23
"2020-12-01";15;14;5;23
"2020-12-02";15;14;7;22
"2020-12-03";15;15;9;23
"2020-12-04";15;14;6;27
"2020-12-05";15;13;8;24
"2020-12-06";15;13;7;19
"2020-12-07";15;23;13;37
"2020-12-08";15;21;13;35
"2020-12-09";15;24;14;33
"2020-12-10";15;23;14;32
"2020-12-11";15;20;9;31
"2020-12-12";15;19;11;27
"2020-12-13";15;14;8;24
"2020-12-14";15;19;7;29
"2020-12-15";15;21;12;33
"2020-12-16";15;20;11;29
"2020-12-17";15;23;15;35
"2020-12-18";15;21;11;36
"2020-12-19";15;20;11;29
"2020-12-20";15;18;10;28
"2020-12-21";15;30;21;43
"2020-12-22";15;31;21;48
"2020-12-23";15;23;16;30
"2020-12-24";15;24;14;33
"2020-12-25";15;24;14;32
"2020-12-26";15;27;17;37
"2020-12-27";15;26;16;42
"2020-12-28";15;39;27;52
"2020-12-29";15;40;27;56
"2020-12-30";15;37;26;54
"2020-12-31";15;30;18;40
"2021-01-01";15;36;24;49
"2021-01-02";15;32;18;45
"2021-01-03";15;37;23;50
"2021-01-04";15;57;42;72
"2021-01-05";15;58;45;84
"2021-01-06";15;72;54;100
"2021-01-07";15;79;57;98
"2021-01-08";15;72;51;98
"2021-01-09";15;70;53;94
"2021-01-10";15;63;48;78
"2021-01-11";15;86;69;104
"2021-01-12";15;80;58;97
"2021-01-13";15;78;62;97
"2021-01-14";15;69;55;83
"2021-01-15";15;73;55;91
"2021-01-16";15;69;53;85
"2021-01-17";15;67;53;83
"2021-01-18";15;90;72;107
"2021-01-19";15;93;69;120
"2021-01-20";15;87;64;107
"2021-01-21";15;106;83;126
"2021-01-22";15;92;76;115
"2021-01-23";15;73;55;89
"2021-01-24";15;66;50;84
"2021-01-25";15;107;82;126
"2021-01-26";15;125;102;156
"2021-01-27";15;84;67;110
"2021-01-28";15;96;80;113
"2021-01-29";15;82;58;102
"2021-01-30";15;57;42;70
"2021-01-31";15;53;33;68
"2021-02-01";15;86;58;106
"2021-02-02";15;88;55;116
"2021-02-03";15;90;68;111
"2021-02-04";15;87;64;115
"2021-02-05";15;82;59;103
"2021-02-06";15;63;46;85
"2021-02-07";15;51;37;74
"2021-02-08";15;106;81;127
"2021-02-09";15;80;57;110
"2021-02-10";15;100;81;131
"2021-02-11";15;81;58;105
"2021-02-12";15;73;55;87
"2021-02-13";15;68;54;81
"2021-02-14";15;60;45;79
"2021-02-15";15;104;80;121
"2021-02-16";15;71;53;90
"2021-02-17";15;80;61;97
"2021-02-18";15;78;60;107
"2021-02-19";15;84;69;100
"2021-02-20";15;73;52;91
"2021-02-21";15;61;46;76
"2021-02-22";15;80;64;110
"2021-02-23";15;74;48;96
"2021-02-24";15;73;52;95
"2021-02-25";15;58;45;73
"2021-02-26";15;53;38;71
"2021-02-27";15;56;39;76
"2021-02-28";15;43;27;60
"2021-03-01";15;68;52;87
"2021-03-02";15;73;52;96
"2021-03-03";15;64;46;88
"2021-03-04";15;59;45;83
"2021-03-05";15;66;50;91
"2021-03-06";15;56;37;72
"2021-03-07";15;52;38;66
"2021-03-08";15;99;78;123
"2021-03-09";15;64;51;81
"2021-03-10";15;71;47;90
