"semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
10,"10 - 19 años",0.0791975388572825,"(0, 7]"
10,"20 - 29 años",0.0323380960881252,"(0, 7]"
10,"30 - 39 años",0.131950013376433,"(0, 7]"
10,"50 - 59 años",0.126587566316061,"(0, 7]"
10,"80 años o más",0.182870852946232,"(0, 7]"
11,"00 - 09 años",0.121321482111754,"(0, 7]"
11,"10 - 19 años",0.118796308285924,"(0, 7]"
11,"20 - 29 años",0.87312859437938,"(0, 7]"
11,"30 - 39 años",1.28651263042022,"(0, 7]"
11,"40 - 49 años",1.18387486060828,"(0, 7]"
11,"50 - 59 años",0.506350265264245,"(0, 7]"
11,"60 - 69 años",0.166296933151959,"(0, 7]"
11,"70 - 79 años",0.300850202672753,"(0, 7]"
11,"80 años o más",0.365741705892465,"(0, 7]"
12,"00 - 09 años",0.687488398633273,"(0, 7]"
12,"10 - 19 años",0.989969235716031,"(0, 7]"
12,"20 - 29 años",5.88553348803879,"(0, 7]"
12,"30 - 39 años",9.26948843969439,"(7, 35]"
12,"40 - 49 años",7.52333379160747,"(7, 35]"
12,"50 - 59 años",5.19009021895851,"(0, 7]"
12,"60 - 69 años",3.32593866303918,"(0, 7]"
12,"70 - 79 años",3.10878542761845,"(0, 7]"
12,"80 años o más",0.548612558838697,"(0, 7]"
13,"00 - 09 años",0.930131362856781,"(0, 7]"
13,"10 - 19 años",2.77191386000489,"(0, 7]"
13,"20 - 29 años",11.5770383995488,"(7, 35]"
13,"30 - 39 años",17.3184392556568,"(7, 35]"
13,"40 - 49 años",15.925026350763,"(7, 35]"
13,"50 - 59 años",13.755848873012,"(7, 35]"
13,"60 - 69 años",10.3658421664721,"(7, 35]"
13,"70 - 79 años",9.12578948107351,"(7, 35]"
13,"80 años o más",6.58335070606436,"(0, 7]"
14,"00 - 09 años",1.5771792674528,"(0, 7]"
14,"10 - 19 años",4.11827202057869,"(0, 7]"
14,"20 - 29 años",16.0396956597101,"(7, 35]"
14,"30 - 39 años",19.1327519395827,"(7, 35]"
14,"40 - 49 años",17.5671753509616,"(7, 35]"
14,"50 - 59 años",16.456383621088,"(7, 35]"
14,"60 - 69 años",13.0820254079541,"(7, 35]"
14,"70 - 79 años",14.5410931291831,"(7, 35]"
14,"80 años o más",12.9838305591825,"(7, 35]"
15,"00 - 09 años",3.11391804086835,"(0, 7]"
15,"10 - 19 años",4.71225356200831,"(0, 7]"
15,"20 - 29 años",16.2984004284151,"(7, 35]"
15,"30 - 39 años",19.3966519663356,"(7, 35]"
15,"40 - 49 años",17.4907963276966,"(7, 35]"
15,"50 - 59 años",16.1188167775785,"(7, 35]"
15,"60 - 69 años",13.0820254079541,"(7, 35]"
15,"70 - 79 años",11.8334413051283,"(7, 35]"
15,"80 años o más",17.5556018828383,"(7, 35]"
16,"00 - 09 años",5.49990718906618,"(0, 7]"
16,"10 - 19 años",6.29620433915396,"(0, 7]"
16,"20 - 29 años",22.474976781247,"(7, 35]"
16,"30 - 39 años",25.7962276150926,"(7, 35]"
16,"40 - 49 años",22.4936223515574,"(7, 35]"
16,"50 - 59 años",20.1696188996924,"(7, 35]"
16,"60 - 69 años",14.4678331842204,"(7, 35]"
16,"70 - 79 años",15.9450607416559,"(7, 35]"
16,"80 años o más",21.0301480888167,"(7, 35]"
17,"00 - 09 años",7.52193189092875,"(7, 35]"
17,"10 - 19 años",10.2560812820181,"(7, 35]"
17,"20 - 29 años",30.5595008032783,"(7, 35]"
17,"30 - 39 años",32.3937282839142,"(7, 35]"
17,"40 - 49 años",25.0523196309366,"(7, 35]"
17,"50 - 59 años",24.9799464197028,"(7, 35]"
17,"60 - 69 años",17.6274749141076,"(7, 35]"
17,"70 - 79 años",16.9478947505651,"(7, 35]"
17,"80 años o más",29.6250781772896,"(7, 35]"
18,"00 - 09 años",15.8931141566398,"(7, 35]"
18,"10 - 19 años",19.8389834837493,"(7, 35]"
18,"20 - 29 años",63.9970921583998,"(35, 70]"
18,"30 - 39 años",69.6366195594123,"(35, 70]"
18,"40 - 49 años",57.7425415883782,"(35, 70]"
18,"50 - 59 años",53.8419115397647,"(35, 70]"
18,"60 - 69 años",38.9134823575584,"(35, 70]"
18,"70 - 79 años",31.5892712806391,"(7, 35]"
18,"80 años o más",37.3056540010314,"(35, 70]"
19,"00 - 09 años",36.8008495738987,"(35, 70]"
19,"10 - 19 años",47.5977208532268,"(35, 70]"
19,"20 - 29 años",151.827361133748,"(150, 250]"
19,"30 - 39 años",164.574654183756,"(150, 250]"
19,"40 - 49 años",131.104593434459,"(70, 150]"
19,"50 - 59 años",121.059909253593,"(70, 150]"
19,"60 - 69 años",88.968859236298,"(70, 150]"
19,"70 - 79 años",69.5966802182969,"(35, 70]"
19,"80 años o más",90.8868139142775,"(70, 150]"
20,"00 - 09 años",41.6537088583689,"(35, 70]"
20,"10 - 19 años",57.8934009046735,"(35, 70]"
20,"20 - 29 años",185.491319161486,"(150, 250]"
20,"30 - 39 años",213.5940841531,"(150, 250]"
20,"40 - 49 años",181.62931732429,"(150, 250]"
20,"50 - 59 años",176.209892311957,"(150, 250]"
20,"60 - 69 años",125.332455285526,"(70, 150]"
20,"70 - 79 años",99.8822672873541,"(70, 150]"
20,"80 años o más",92.898393296686,"(70, 150]"
21,"00 - 09 años",37.003052044085,"(35, 70]"
21,"10 - 19 años",55.2402833529545,"(35, 70]"
21,"20 - 29 años",214.692619929063,"(150, 250]"
21,"30 - 39 años",253.442988192783,"> 250"
21,"40 - 49 años",213.441180514184,"(150, 250]"
21,"50 - 59 años",218.785510449593,"(150, 250]"
21,"60 - 69 años",154.434418587119,"(150, 250]"
21,"70 - 79 años",138.090243026794,"(70, 150]"
21,"80 años o más",157.26893353376,"(150, 250]"
22,"00 - 09 años",41.1684229299219,"(35, 70]"
22,"10 - 19 años",58.8833701403895,"(35, 70]"
22,"20 - 29 años",245.672515981487,"(150, 250]"
22,"30 - 39 años",276.105402990185,"> 250"
22,"40 - 49 años",248.690099751004,"(150, 250]"
22,"50 - 59 años",252.415607234226,"> 250"
22,"60 - 69 años",188.358992950119,"(150, 250]"
22,"70 - 79 años",171.384332122578,"(150, 250]"
22,"80 años o más",190.917170475867,"(150, 250]"
23,"00 - 09 años",35.0214678362597,"(35, 70]"
23,"10 - 19 años",57.5766107492444,"(35, 70]"
23,"20 - 29 años",244.476006426226,"(150, 250]"
23,"30 - 39 años",281.416391028587,"> 250"
23,"40 - 49 años",252.356292867727,"> 250"
23,"50 - 59 años",267.310744204083,"> 250"
23,"60 - 69 años",203.658310800099,"(150, 250]"
23,"70 - 79 años",191.039878697198,"(150, 250]"
23,"80 años o más",228.222824476898,"(150, 250]"
