REGION_CORTO;COD_COMUNA_FINAL;FECHA_INMUNIZACION;SUM_of_SUM_of_1aDOSIS;SUM_of_SUM_of_2aDOSIS;SUM_of_SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS;SUM_of_4_Dosis
" Tarapacá";1101;;;;;;
" Tarapacá";1107;;;;;;
" Tarapacá";1401;;;;;;
" Tarapacá";1402;;;;;;
" Tarapacá";1403;;;;;;
" Tarapacá";1404;;;;;;
" Tarapacá";1405;;;;;;
" Antofagasta";2101;;;;;;
" Antofagasta";2102;;;;;;
" Antofagasta";2103;;;;;;
" Antofagasta";2104;;;;;;
" Antofagasta";2201;;;;;;
" Antofagasta";2202;;;;;;
" Antofagasta";2203;;;;;;
" Antofagasta";2301;;;;;;
" Antofagasta";2302;;;;;;
" Atacama";3101;;;;;;
" Atacama";3102;;;;;;
" Atacama";3103;;;;;;
" Atacama";3201;;;;;;
" Atacama";3202;;;;;;
" Atacama";3301;;;;;;
" Atacama";3302;;;;;;
" Atacama";3303;;;;;;
" Atacama";3304;;;;;;
" Coquimbo";4101;;;;;;
" Coquimbo";4102;;;;;;
" Coquimbo";4103;;;;;;
" Coquimbo";4104;;;;;;
" Coquimbo";4105;;;;;;
" Coquimbo";4106;;;;;;
" Coquimbo";4201;;;;;;
" Coquimbo";4202;;;;;;
" Coquimbo";4203;;;;;;
" Coquimbo";4204;;;;;;
" Coquimbo";4301;;;;;;
" Coquimbo";4302;;;;;;
" Coquimbo";4303;;;;;;
" Coquimbo";4304;;;;;;
" Coquimbo";4305;;;;;;
" Valparaíso";5101;;;;;;
" Valparaíso";5102;;;;;;
" Valparaíso";5103;;;;;;
" Valparaíso";5104;;;;;;
" Valparaíso";5105;;;;;;
" Valparaíso";5107;;;;;;
" Valparaíso";5109;;;;;;
" Valparaíso";5201;;;;;;
" Valparaíso";5301;;;;;;
" Valparaíso";5302;;;;;;
" Valparaíso";5303;;;;;;
" Valparaíso";5304;;;;;;
" Valparaíso";5401;;;;;;
" Valparaíso";5402;;;;;;
" Valparaíso";5403;;;;;;
" Valparaíso";5404;;;;;;
" Valparaíso";5405;;;;;;
" Valparaíso";5501;;;;;;
" Valparaíso";5502;;;;;;
" Valparaíso";5503;;;;;;
" Valparaíso";5504;;;;;;
" Valparaíso";5506;;;;;;
" Valparaíso";5601;;;;;;
" Valparaíso";5602;;;;;;
" Valparaíso";5603;;;;;;
" Valparaíso";5604;;;;;;
" Valparaíso";5605;;;;;;
" Valparaíso";5606;;;;;;
" Valparaíso";5701;;;;;;
" Valparaíso";5702;;;;;;
" Valparaíso";5703;;;;;;
" Valparaíso";5704;;;;;;
" Valparaíso";5705;;;;;;
" Valparaíso";5706;;;;;;
" Valparaíso";5801;;;;;;
" Valparaíso";5802;;;;;;
" Valparaíso";5803;;;;;;
" Valparaíso";5804;;;;;;
Libertador B. O'Higgins;6101;;;;;;
Libertador B. O'Higgins;6102;;;;;;
Libertador B. O'Higgins;6103;;;;;;
Libertador B. O'Higgins;6104;;;;;;
