NOMBRE_REGION;NOMBRE_COMUNA;COD_COMUNA;EDAD_ANOS;POBLACION;1aDOSIS_RES;2aDOSIS_RES;ÚnicaDOSIS;Refuerzo_DOSIS;4aDOSIS
Antofagasta;Antofagasta;2101;3;5356;3242;2331;;;
Antofagasta;Antofagasta;2101;4;5381;3500;2655;;;
Antofagasta;Antofagasta;2101;5;5890;4159;3179;;1;
Antofagasta;Antofagasta;2101;6;6139;5878;5248;;735;
Antofagasta;Antofagasta;2101;7;5990;5231;4790;;751;
Antofagasta;Antofagasta;2101;8;6015;5205;4806;;891;1
Antofagasta;Antofagasta;2101;9;5968;5410;5025;;946;
Antofagasta;Antofagasta;2101;10;6068;5579;5247;;1030;
Antofagasta;Antofagasta;2101;11;6101;5619;5309;;1166;2
Antofagasta;Antofagasta;2101;12;6060;5868;5623;;1968;
Antofagasta;Antofagasta;2101;13;5929;5673;5513;;1977;
Antofagasta;Antofagasta;2101;14;5749;6014;5855;;3108;1
Antofagasta;Antofagasta;2101;15;5528;5478;5329;;3301;1
Antofagasta;Antofagasta;2101;16;5577;5303;5168;;3501;7
Antofagasta;Antofagasta;2101;17;5793;5305;5169;;3967;15
Antofagasta;Calama;2201;3;2655;1830;1385;;;
Antofagasta;Calama;2201;4;2641;2038;1553;;;
Antofagasta;Calama;2201;5;2845;2290;1840;;1;
Antofagasta;Calama;2201;6;2926;3170;2847;;519;
Antofagasta;Calama;2201;7;2831;2849;2645;;558;
Antofagasta;Calama;2201;8;2824;2781;2626;;630;
Antofagasta;Calama;2201;9;2795;2723;2598;;657;
Antofagasta;Calama;2201;10;2864;2746;2629;;636;
Antofagasta;Calama;2201;11;2931;2809;2685;;752;
Antofagasta;Calama;2201;12;2967;2947;2861;;1186;
Antofagasta;Calama;2201;13;2910;2608;2528;;1130;1
Antofagasta;Calama;2201;14;2820;2834;2781;;1578;
Antofagasta;Calama;2201;15;2685;2638;2583;;1664;
Antofagasta;Calama;2201;16;2660;2661;2607;;1839;1
Antofagasta;Calama;2201;17;2604;2626;2581;;2069;6
Antofagasta;María Elena;2302;3;78;31;21;;;
Antofagasta;María Elena;2302;4;77;46;38;;;
Antofagasta;María Elena;2302;5;88;58;47;;;
Antofagasta;María Elena;2302;6;96;83;62;;7;
Antofagasta;María Elena;2302;7;100;60;54;;9;
Antofagasta;María Elena;2302;8;103;69;59;;3;
Antofagasta;María Elena;2302;9;99;62;57;;7;
Antofagasta;María Elena;2302;10;93;73;63;;12;
Antofagasta;María Elena;2302;11;91;77;72;;16;
Antofagasta;María Elena;2302;12;95;83;81;;23;
Antofagasta;María Elena;2302;13;100;67;63;;22;
Antofagasta;María Elena;2302;14;99;78;77;;40;
Antofagasta;María Elena;2302;15;96;63;61;;30;
Antofagasta;María Elena;2302;16;92;75;74;;64;
Antofagasta;María Elena;2302;17;85;73;72;;58;
Antofagasta;Mejillones;2102;3;202;113;75;;;
Antofagasta;Mejillones;2102;4;200;146;94;;;
Antofagasta;Mejillones;2102;5;219;140;89;;;
Antofagasta;Mejillones;2102;6;223;263;217;;12;
Antofagasta;Mejillones;2102;7;213;194;166;;11;
Antofagasta;Mejillones;2102;8;204;195;179;;16;
Antofagasta;Mejillones;2102;9;197;233;210;;12;
Antofagasta;Mejillones;2102;10;199;211;190;;14;
Antofagasta;Mejillones;2102;11;209;238;225;;25;
Antofagasta;Mejillones;2102;12;220;240;223;;53;
Antofagasta;Mejillones;2102;13;219;205;198;;45;
Antofagasta;Mejillones;2102;14;204;208;199;;85;
