EDAD_ANOS;SEXO1;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS;SUM_of_4_Dosis
18;Desconocido;27;27;7;29;22
18;Hombre;90154;86946;40522;110423;49881
18;Intersex (Indeterminado);57;54;24;63;10
18;Mujer;89647;87648;39267;114972;60489
19;Desconocido;27;26;2;26;15
19;Hombre;107475;104149;19802;107502;50310
19;Intersex (Indeterminado);58;52;20;60;11
19;Mujer;107229;105036;17740;110983;59859
20;Desconocido;20;20;3;20;11
20;Hombre;121511;117666;11657;111451;54298
20;Intersex (Indeterminado);82;79;16;66;12
20;Mujer;121700;119266;9566;115952;64558
21;Desconocido;22;20;1;20;12
21;Hombre;122563;118363;10458;110185;53863
21;Intersex (Indeterminado);122;118;19;115;31
21;Mujer;122290;119569;8231;114252;64187
22;Desconocido;24;22;3;18;12
22;Hombre;125183;120885;13356;114395;56026
22;Intersex (Indeterminado);183;178;33;166;36
22;Mujer;127247;124424;10083;120049;67206
23;Desconocido;28;28;5;28;19
23;Hombre;121033;116421;21067;116759;56293
23;Intersex (Indeterminado);171;167;27;158;36
23;Mujer;123600;120667;16926;122673;68694
24;Desconocido;31;31;4;31;12
24;Hombre;129387;124684;16811;119924;58658
24;Intersex (Indeterminado);177;173;28;166;27
24;Mujer;131759;128821;12774;126344;71453
25;Desconocido;37;33;4;30;15
25;Hombre;134010;129177;14549;122132;60983
25;Intersex (Indeterminado);258;250;37;241;44
25;Mujer;136535;133560;10536;128364;73323
26;Desconocido;34;31;1;24;16
26;Hombre;144433;139579;11051;128139;64947
26;Intersex (Indeterminado);284;274;30;257;74
26;Mujer;146919;143985;7450;135259;78839
27;Desconocido;34;30;2;25;11
27;Hombre;146477;141693;10436;130091;67625
27;Intersex (Indeterminado);389;375;24;347;113
27;Mujer;148476;145618;6815;136507;79714
28;Desconocido;26;25;3;23;13
28;Hombre;149623;144985;10052;133006;69556
28;Intersex (Indeterminado);446;437;41;418;123
28;Mujer;150803;148051;6689;139010;82346
29;Desconocido;43;43;4;38;21
29;Hombre;151995;147320;9932;135498;72598
29;Intersex (Indeterminado);433;415;42;398;130
29;Mujer;153899;151099;6602;142371;85494
30;Desconocido;40;40;6;39;19
30;Hombre;157505;153204;9535;141075;76966
30;Intersex (Indeterminado);418;411;25;377;127
30;Mujer;157680;154975;6142;145861;88734
31;Desconocido;36;35;3;28;15
31;Hombre;158531;154240;9104;142103;78955
31;Intersex (Indeterminado);436;426;29;400;155
31;Mujer;158453;155957;5759;146923;91142
32;Desconocido;40;37;2;33;18
32;Hombre;153736;149645;8585;138294;78604
32;Intersex (Indeterminado);440;435;22;406;148
32;Mujer;154440;152100;5557;143410;89499
33;Desconocido;30;29;1;25;16
33;Hombre;146179;142323;7974;131824;76325
33;Intersex (Indeterminado);418;410;28;380;149
33;Mujer;147040;144898;5211;137027;86765
34;Desconocido;38;35;6;33;21
34;Hombre;140013;136484;7485;126667;74475
34;Intersex (Indeterminado);368;364;17;331;127
34;Mujer;141157;139162;4844;131862;84252
35;Desconocido;26;26;3;21;14
35;Hombre;134831;131726;7010;122639;73378
35;Intersex (Indeterminado);338;337;29;327;128
35;Mujer;136602;134768;4433;127948;82860
36;Desconocido;34;32;1;25;19
36;Hombre;130674;127755;6485;118863;72233
36;Intersex (Indeterminado);374;369;19;338;148
36;Mujer;131891;130216;4170;123903;81846
37;Desconocido;28;26;3;23;18
37;Hombre;126960;124087;6073;115919;71422
37;Intersex (Indeterminado);357;347;26;314;143
37;Mujer;129190;127551;3907;121561;81376
38;Desconocido;32;31;2;30;18
38;Hombre;130468;127790;5877;119680;75091
38;Intersex (Indeterminado);344;338;18;322;149
38;Mujer;133616;132089;3950;126398;85665
39;Desconocido;34;33;;30;12
39;Hombre;132531;129914;5930;122236;77738
39;Intersex (Indeterminado);350;338;13;321;144
39;Mujer;136074;134545;3985;129125;88680
40;Desconocido;25;23;5;22;14
40;Hombre;125074;122694;5318;115524;74210
40;Intersex (Indeterminado);324;320;25;313;139
40;Mujer;127810;126509;3625;121610;84765
41;Desconocido;23;21;1;19;12
41;Hombre;120896;118635;4919;111711;72740
41;Intersex (Indeterminado);326;319;21;313;169
41;Mujer;124321;123092;3446;118432;83709
42;Desconocido;30;28;3;26;17
42;Hombre;114899;112768;4565;106658;70293
42;Intersex (Indeterminado);328;322;13;307;157
42;Mujer;119265;118155;3253;114132;82221
43;Desconocido;23;22;2;23;13
43;Hombre;112413;110438;4245;104647;69324
43;Intersex (Indeterminado);320;314;14;289;159
43;Mujer;116088;115095;2930;111279;81011
44;Desconocido;15;14;1;14;11
44;Hombre;112126;110277;4057;104815;71299
44;Intersex (Indeterminado);318;313;12;305;157
44;Mujer;116577;115630;2905;112125;83499
45;Desconocido;20;20;1;20;13
45;Hombre;116962;115214;3554;109520;75955
45;Intersex (Indeterminado);313;309;14;296;170
45;Mujer;121029;120075;2792;116715;88048
46;Desconocido;23;22;1;22;14
46;Hombre;118848;117069;3721;111652;78312
46;Intersex (Indeterminado);379;368;20;352;212
46;Mujer;124770;123881;2842;120409;91198
47;Desconocido;18;17;;14;10
47;Hombre;120074;118286;3390;112690;80308
47;Intersex (Indeterminado);342;331;10;313;191
47;Mujer;124826;123897;2634;120415;91920
