EDAD_ANOS;SEXO1;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS;SUM_of_4_Dosis
3;Desconocido;29;22;;;
3;Hombre;87402;68032;;7705;3
3;Intersex (Indeterminado);13;6;;;
3;Mujer;86708;68004;;7933;1
4;Desconocido;27;21;;7;
4;Hombre;86525;71691;;11047;2
4;Intersex (Indeterminado);14;6;;1;
4;Mujer;86017;71817;;11443;1
5;Desconocido;57;50;;22;
5;Hombre;97804;83309;;18351;4
5;Intersex (Indeterminado);10;8;;;
5;Mujer;97557;83580;;18932;1
6;Desconocido;41;40;;21;
6;Hombre;135834;124305;;62179;11
6;Intersex (Indeterminado);26;24;;11;
6;Mujer;133387;122784;;62769;10
7;Desconocido;44;42;;24;
7;Hombre;120858;113475;;62989;11
7;Intersex (Indeterminado);26;22;;11;
7;Mujer;118030;111090;;62474;12
8;Desconocido;31;29;;17;
8;Hombre;117191;110767;;63269;8
8;Intersex (Indeterminado);9;6;;3;
8;Mujer;114817;109145;;63724;7
9;Desconocido;41;38;;26;
9;Hombre;120330;114323;;66665;15
9;Intersex (Indeterminado);24;22;;9;
9;Mujer;117379;112125;;66650;8
10;Desconocido;34;31;;18;
10;Hombre;123495;117858;;69117;13
10;Intersex (Indeterminado);45;41;;20;
10;Mujer;120199;115307;;69579;15
11;Desconocido;36;33;;16;
11;Hombre;125131;120198;;74353;50
11;Intersex (Indeterminado);22;21;;10;
11;Mujer;122494;118149;;75468;35
12;Desconocido;46;44;;30;1
12;Hombre;134366;130571;;90830;4143
12;Intersex (Indeterminado);36;35;;24;
12;Mujer;131906;128611;;92539;4051
13;Desconocido;39;38;;25;2
13;Hombre;125824;122629;;86274;4607
13;Intersex (Indeterminado);38;36;;24;
13;Mujer;122310;119636;;86999;4665
14;Desconocido;33;33;;26;6
14;Hombre;128623;125705;;93053;13481
14;Intersex (Indeterminado);43;42;;25;6
14;Mujer;126123;123881;;95399;14901
15;Desconocido;27;27;;27;8
15;Hombre;123552;120900;;93192;21764
15;Intersex (Indeterminado);32;29;;17;
15;Mujer;121553;119470;;97105;25922
16;Desconocido;32;29;;26;16
16;Hombre;123157;120532;;96448;30050
16;Intersex (Indeterminado);30;29;;26;7
16;Mujer;120578;118666;;100492;36581
17;Desconocido;23;20;;18;14
17;Hombre;120113;117434;;99926;44516
17;Intersex (Indeterminado);37;35;;27;7
17;Mujer;118986;117231;;104696;54129
