REGION_RESIDENCIA;EDAD_ANOS;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS;SUM_of_Refuerzo_DOSIS;SUM_of_4_Dosis
" Aisén Gral. C. Ibáñez Campo";3;833;574;;;
" Aisén Gral. C. Ibáñez Campo";4;826;599;;;
" Aisén Gral. C. Ibáñez Campo";5;1056;794;;;
" Aisén Gral. C. Ibáñez Campo";6;1497;1298;;92;
" Aisén Gral. C. Ibáñez Campo";7;1394;1266;;151;
" Aisén Gral. C. Ibáñez Campo";8;1359;1269;;137;
" Aisén Gral. C. Ibáñez Campo";9;1434;1314;;114;
" Aisén Gral. C. Ibáñez Campo";10;1446;1364;;128;
" Aisén Gral. C. Ibáñez Campo";11;1594;1518;;163;
" Aisén Gral. C. Ibáñez Campo";12;1847;1777;;651;
" Aisén Gral. C. Ibáñez Campo";13;1685;1626;;655;
" Aisén Gral. C. Ibáñez Campo";14;1659;1612;;872;
" Aisén Gral. C. Ibáñez Campo";15;1567;1531;;940;1
" Aisén Gral. C. Ibáñez Campo";16;1631;1586;;1032;1
" Aisén Gral. C. Ibáñez Campo";17;1426;1394;;1038;3
" Antofagasta";3;5472;3907;;;
" Antofagasta";4;6102;4492;;;
" Antofagasta";5;7143;5396;;1;
" Antofagasta";6;10169;8987;;1081;
" Antofagasta";7;9050;8266;;1117;
" Antofagasta";8;8963;8286;;1346;
" Antofagasta";9;9158;8520;;1369;
" Antofagasta";10;9333;8780;;1477;
" Antofagasta";11;9600;9057;;1751;2
" Antofagasta";12;9964;9555;;3113;
" Antofagasta";13;9294;8997;;3088;1
" Antofagasta";14;9977;9713;;4995;2
" Antofagasta";15;9161;8925;;5405;1
" Antofagasta";16;9003;8777;;5858;4
" Antofagasta";17;8868;8646;;6603;6
" Arica y Parinacota";3;1570;1011;;;
" Arica y Parinacota";4;1899;1231;;;
" Arica y Parinacota";5;2135;1454;;;
" Arica y Parinacota";6;3437;2871;;173;
" Arica y Parinacota";7;3294;2867;;271;
" Arica y Parinacota";8;3293;2923;;292;
" Arica y Parinacota";9;3371;3047;;302;
" Arica y Parinacota";10;3555;3230;;304;
" Arica y Parinacota";11;3528;3237;;361;
" Arica y Parinacota";12;3934;3719;;1243;
" Arica y Parinacota";13;3559;3376;;1295;1
" Arica y Parinacota";14;3383;3229;;1534;1
" Arica y Parinacota";15;3351;3218;;1813;
" Arica y Parinacota";16;3422;3280;;1994;1
" Arica y Parinacota";17;3441;3315;;2335;3
" Atacama";3;2382;1631;;;
" Atacama";4;2875;2055;;1;
" Atacama";5;3289;2501;;2;
" Atacama";6;4675;4051;;483;
" Atacama";7;4433;3987;;675;
" Atacama";8;4335;3966;;773;
" Atacama";9;4504;4158;;762;
" Atacama";10;4765;4435;;801;
" Atacama";11;4727;4464;;901;
" Atacama";12;5073;4846;;1618;
" Atacama";13;4629;4441;;1574;1
" Atacama";14;4711;4538;;2071;
" Atacama";15;4545;4407;;2443;
" Atacama";16;4317;4163;;2589;2
" Atacama";17;4204;4065;;2895;5
" Coquimbo";3;5859;4190;;1;
" Coquimbo";4;6784;5124;;;1
" Coquimbo";5;8186;6364;;2;
" Coquimbo";6;12068;10658;;1117;1
" Coquimbo";7;11207;10182;;1368;
" Coquimbo";8;11195;10362;;1566;
" Coquimbo";9;11571;10761;;1577;
" Coquimbo";10;11802;11126;;1753;
" Coquimbo";11;12082;11426;;2011;
" Coquimbo";12;12977;12527;;4287;1
" Coquimbo";13;11898;11547;;4356;2
" Coquimbo";14;12241;11936;;6356;1
" Coquimbo";15;11700;11442;;7032;
" Coquimbo";16;11410;11161;;7540;4
" Coquimbo";17;11029;10784;;8192;4
" La Araucanía";3;7466;5471;;;
" La Araucanía";4;8452;6370;;;
" La Araucanía";5;9611;7593;;2;
" La Araucanía";6;13999;12381;;1414;1
" La Araucanía";7;12746;11718;;1613;1
" La Araucanía";8;12281;11462;;1700;1
" La Araucanía";9;12956;12134;;1832;1
" La Araucanía";10;13301;12530;;1841;
" La Araucanía";11;13453;12756;;2030;
" La Araucanía";12;14766;14312;;4117;
" La Araucanía";13;14123;13694;;4216;1
" La Araucanía";14;14864;14504;;6504;3
" La Araucanía";15;14041;13744;;7349;
" La Araucanía";16;13909;13588;;8210;6
" La Araucanía";17;13597;13285;;9271;11
" Los Lagos";3;5192;3642;;;
" Los Lagos";4;6351;4636;;;
" Los Lagos";5;7524;5661;;1;
" Los Lagos";6;10689;9197;;751;
" Los Lagos";7;10029;8942;;861;1
" Los Lagos";8;9946;9004;;1020;
" Los Lagos";9;10332;9448;;1144;
" Los Lagos";10;11167;10294;;1206;
" Los Lagos";11;11787;11023;;1493;1
" Los Lagos";12;13310;12795;;3535;
" Los Lagos";13;12572;12157;;3646;1
" Los Lagos";14;12875;12553;;5492;3
" Los Lagos";15;12620;12287;;6780;2
" Los Lagos";16;12317;12034;;7314;9
" Los Lagos";17;12151;11874;;8528;10
