REGION_CORTO;COMUNA;NOMBRE_ESTAB;Laboratorio;FECHA_INMUNIZACION;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;23/03/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;29/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;30/03/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;31/03/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;12/04/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;13/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;14/04/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;20/04/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;26/04/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;27/04/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;28/04/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;04/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;10/05/2021;;2;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;11/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;12/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;17/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;18/05/2021;;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;24/05/2021;2;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;26/05/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;27/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;28/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;31/05/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;01/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;08/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;09/06/2021;15;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;10/06/2021;10;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;11/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;14/06/2021;4;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;17/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;22/06/2021;6;1;
" Aisén Gral. C. Ibáñez Campo";Aisén;Centro de Salud Familiar Puerto Aysen;Pfizer;23/06/2021;6;4;
