REGION_CORTO;SEXO;EDAD_ANOS;Laboratorio;FECHA_INMUNIZACION;SUM_of_1aDOSIS;SUM_of_2aDOSIS;SUM_of_ÚnicaDOSIS
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;22/06/2021;5;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;23/06/2021;14;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;24/06/2021;12;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;25/06/2021;8;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;26/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;29/06/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;30/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;01/07/2021;16;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;02/07/2021;18;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;04/07/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;05/07/2021;10;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;06/07/2021;13;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;07/07/2021;15;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;08/07/2021;17;;
" Aisén Gral. C. Ibáñez Campo";Hombre;12;Pfizer;09/07/2021;14;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;22/06/2021;1;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;23/06/2021;2;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;24/06/2021;13;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;25/06/2021;13;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;29/06/2021;7;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;01/07/2021;15;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;02/07/2021;14;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;05/07/2021;3;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;06/07/2021;9;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;07/07/2021;9;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;08/07/2021;25;;
" Aisén Gral. C. Ibáñez Campo";Hombre;13;Pfizer;09/07/2021;8;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;22/06/2021;6;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;23/06/2021;9;;
" Aisén Gral. C. Ibáñez Campo";Hombre;14;Pfizer;24/06/2021;11;;
