semana_epidemiologica,sin_vac_casos,esq_comp_entre14diasy6meses_casos,esq_comp_mayora6meses_casos,primer_ref_entre14diasy6meses_casos,primer_ref_mayora6meses_casos,segunda_ref_entre14diasy6meses_casos,segunda_ref_mayora6meses_casos,sin_vac_hospi,esq_comp_entre14diasy6meses_hospi,esq_comp_mayora6meses_hospi,primer_ref_entre14diasy6meses_hospi,primer_ref_mayora6meses_hospi,segunda_ref_entre14diasy6meses_hospi,segunda_ref_mayora6meses_hospi,sin_vac_uci,esq_comp_entre14diasy6meses_uci,esq_comp_mayora6meses_uci,primer_ref_entre14diasy6meses_uci,primer_ref_mayora6meses_uci,segunda_ref_entre14diasy6meses_uci,segunda_ref_mayora6meses_uci,sin_vac_fall,esq_comp_entre14diasy6meses_fall,esq_comp_mayora6meses_fall,primer_ref_entre14diasy6meses_fall,primer_ref_mayora6meses_fall,segunda_ref_entre14diasy6meses_fall,segunda_ref_mayora6meses_fall
2021-01,27413,0,0,0,0,0,0,427,0,0,0,0,0,0,75,0,0,0,0,0,0,25,0,0,0,0,0,0
2021-02,27171,0,0,0,0,0,0,1404,0,0,0,0,0,0,338,0,0,0,0,0,0,97,0,0,0,0,0,0
2021-03,27917,0,0,0,0,0,0,1893,0,0,0,0,0,0,581,0,0,0,0,0,0,230,0,0,0,0,0,0
2021-04,24778,0,0,0,0,0,0,2000,0,0,0,0,0,0,630,0,0,0,0,0,0,339,0,0,0,0,0,0
2021-05,23504,0,0,0,0,0,0,1778,0,0,0,0,0,0,598,0,0,0,0,0,0,411,0,0,0,0,0,0
2021-06,23315,3,0,0,0,0,0,1735,0,0,0,0,0,0,575,0,0,0,0,0,0,419,0,0,0,0,0,0
2021-07,23769,2,0,0,0,0,0,1767,0,0,0,0,0,0,579,0,0,0,0,0,0,379,0,0,0,0,0,0
2021-08,26917,12,0,0,0,0,0,1845,0,0,0,0,0,0,644,0,0,0,0,0,0,424,0,0,0,0,0,0
2021-09,32897,21,0,0,0,0,0,2178,0,0,0,0,0,0,745,0,0,0,0,0,0,435,0,0,0,0,0,0
2021-10,37671,31,0,0,0,0,0,2462,0,0,0,0,0,0,862,0,0,0,0,0,0,506,0,0,0,0,0,0
2021-11,43153,283,0,0,0,0,0,2846,6,0,0,0,0,0,1033,0,0,0,0,0,0,532,0,0,0,0,0,0
2021-12,45762,1405,0,0,0,0,0,3223,34,0,0,0,0,0,1150,5,0,0,0,0,0,578,9,0,0,0,0,0
2021-13,43863,2562,0,0,0,0,0,3405,118,0,0,0,0,0,1290,19,0,0,0,0,0,593,16,0,0,0,0,0
2021-14,43889,3451,0,0,0,0,0,3432,223,0,0,0,0,0,1392,59,0,0,0,0,0,595,63,0,0,0,0,0
2021-15,40237,3955,0,0,0,0,0,3186,243,0,0,0,0,0,1248,65,0,0,0,0,0,592,98,0,0,0,0,0
2021-16,36337,4584,0,0,0,0,0,2802,314,0,0,0,0,0,1072,85,0,0,0,0,0,548,73,0,0,0,0,0
2021-17,31173,5030,0,0,0,0,0,2596,372,0,0,0,0,0,995,113,0,0,0,0,0,458,123,0,0,0,0,0
2021-18,30399,6199,0,0,0,0,0,2270,372,0,0,0,0,0,866,121,0,0,0,0,0,458,127,0,0,0,0,0
2021-19,32407,8159,0,0,0,0,0,2211,492,0,0,0,0,0,778,174,0,0,0,0,0,392,130,0,0,0,0,0
2021-20,34349,9987,0,0,0,0,0,2345,566,0,0,0,0,0,900,175,0,0,0,0,0,391,194,0,0,0,0,0
2021-21,36596,11932,0,0,0,0,0,2606,759,0,0,0,0,0,979,256,0,0,0,0,0,432,204,0,0,0,0,0
2021-22,35914,13590,0,0,0,0,0,2582,793,0,0,0,0,0,1002,253,0,0,0,0,0,400,268,0,0,0,0,0
2021-23,30215,13188,0,0,0,0,0,2486,887,0,0,0,0,0,914,284,0,0,0,0,0,430,282,0,0,0,0,0
2021-24,22197,11803,0,0,0,0,0,2193,873,0,0,0,0,0,807,294,0,0,0,0,0,428,297,0,0,0,0,0
2021-25,15342,9779,0,0,0,0,0,1618,833,0,0,0,0,0,638,298,0,0,0,0,0,409,302,0,0,0,0,0
