fecha_primeros_sintomas,activos,recuperados
2020-02-22,1,0
2020-02-23,2,0
2020-02-24,2,0
2020-02-25,9,0
2020-02-26,9,0
2020-02-27,5,0
2020-02-28,6,0
2020-02-29,3,0
2020-03-01,10,0
2020-03-02,14,0
2020-03-03,13,0
2020-03-04,49,1
2020-03-05,70,2
2020-03-06,83,3
2020-03-07,88,11
2020-03-08,111,12
2020-03-09,142,16
2020-03-10,205,18
2020-03-11,255,19
2020-03-12,318,28
2020-03-13,431,33
2020-03-14,575,41
2020-03-15,736,50
2020-03-16,991,72
2020-03-17,1229,86
2020-03-18,1470,99
2020-03-19,1729,123
2020-03-20,2034,158
2020-03-21,2258,223
2020-03-22,2492,274
2020-03-23,2786,346
2020-03-24,2982,464
2020-03-25,3159,616
2020-03-26,3327,786
2020-03-27,3384,1063
2020-03-28,3441,1315
2020-03-29,3456,1569
2020-03-30,3550,1852
2020-03-31,3525,2192
2020-04-01,3676,2481
2020-04-02,3771,2766
2020-04-03,3781,3132
2020-04-04,3839,3446
2020-04-05,3832,3775
2020-04-06,3911,4113
2020-04-07,3951,4447
2020-04-08,4027,4756
2020-04-09,4179,5025
2020-04-10,4232,5402
2020-04-11,4246,5717
2020-04-12,4170,6157
2020-04-13,4338,6537
2020-04-14,4440,6913
2020-04-15,4669,7285
2020-04-16,4900,7607
2020-04-17,5048,8024
2020-04-18,5184,8398
2020-04-19,5307,8783
2020-04-20,5832,9204
2020-04-21,6109,9634
2020-04-22,6559,9963
2020-04-23,7034,10327
2020-04-24,7548,10875
2020-04-25,8115,11353
2020-04-26,8555,11954
2020-04-27,9655,12507
2020-04-28,10746,13072
2020-04-29,11886,13582
2020-04-30,13360,14090
2020-05-01,15229,15036
2020-05-02,17123,15743
2020-05-03,19112,16522
2020-05-04,22097,17361
2020-05-05,24542,18423
2020-05-06,26959,19468
2020-05-07,29593,20509
2020-05-08,32157,22162
2020-05-09,34361,23818
2020-05-10,36940,25468
2020-05-11,40240,27450
2020-05-12,42146,30265
2020-05-13,43745,32866
2020-05-14,45107,35634
2020-05-15,46526,39458
2020-05-16,47604,42965
2020-05-17,48606,46427
2020-05-18,50721,50102
2020-05-19,51463,54319
2020-05-20,53629,58179
2020-05-21,53992,62408
2020-05-22,54320,67690
2020-05-23,54556,72411
2020-05-24,54836,76611
2020-05-25,56886,80741
2020-05-26,56469,85984
2020-05-27,56822,90569
2020-05-28,57331,95033
2020-05-29,56704,100823
2020-05-30,56510,105782
2020-05-31,54767,111808
2020-06-01,57107,116400
2020-06-02,56192,122010
2020-06-03,55774,126967
2020-06-04,55793,131447
2020-06-05,54686,137627
2020-06-06,54229,142453
2020-06-07,53170,147391
2020-06-08,53524,152364
2020-06-09,52491,157527
2020-06-10,52103,162292
2020-06-11,51748,166575
2020-06-12,49340,173507
2020-06-13,48771,178202
2020-06-14,47841,182741
2020-06-15,48138,187240
2020-06-16,47178,192313
2020-06-17,46621,196682
2020-06-18,46706,200561
2020-06-19,45365,205888
2020-06-20,44936,210018
2020-06-21,43562,214395
2020-06-22,43413,218323
2020-06-23,42283,222847
2020-06-24,41344,226973
2020-06-25,40816,230582
2020-06-26,39179,235378
2020-06-27,37763,239491
2020-06-28,36450,243303
2020-06-29,35126,247267
2020-06-30,34093,251253
2020-07-01,33662,254954
2020-07-02,33077,257957
2020-07-03,31910,261736
2020-07-04,30851,265130
2020-07-05,29886,268317
2020-07-06,29608,271398
2020-07-07,28881,274557
2020-07-08,28429,277254
2020-07-09,28171,279753
2020-07-10,28020,282393
2020-07-11,27053,285346
2020-07-12,25673,288616
2020-07-13,25615,291034
2020-07-14,25232,293646
2020-07-15,24984,295981
2020-07-16,24480,298203
2020-07-17,23906,301006
2020-07-18,23384,303438
2020-07-19,22758,305683
2020-07-20,22888,307924
2020-07-21,22376,310413
2020-07-22,22322,312399
2020-07-23,22478,314289
2020-07-24,22094,316649
2020-07-25,21622,318878
2020-07-26,21008,320965
2020-07-27,21516,322683
2020-07-28,21163,324912
2020-07-29,21039,326822
2020-07-30,21309,328441
2020-07-31,20864,330812
2020-08-01,20802,332789
2020-08-02,20427,334721
2020-08-03,20471,336767
2020-08-04,20426,338743
2020-08-05,20511,340500
2020-08-06,20913,341973
2020-08-07,20562,344199
2020-08-08,20199,346075
2020-08-09,19705,347861
2020-08-10,19873,349750
2020-08-11,19770,351676
2020-08-12,19603,353591
2020-08-13,19642,355148
2020-08-14,19321,357238
2020-08-15,18795,359169
2020-08-16,18257,361011
2020-08-17,18366,362886
2020-08-18,18408,364761
2020-08-19,18674,366274
2020-08-20,19300,367566
2020-08-21,19025,369623
2020-08-22,18639,371446
2020-08-23,18259,373194
2020-08-24,18750,374790
2020-08-25,18930,376559
2020-08-26,19477,377964
2020-08-27,20025,379268
2020-08-28,20036,381252
2020-08-29,19656,383169
2020-08-30,19204,384948
2020-08-31,19435,386866
2020-09-01,19697,388648
2020-09-02,20193,390085
2020-09-03,20735,391453
2020-09-04,20674,393540
2020-09-05,20278,395489
2020-09-06,19621,397441
2020-09-07,19837,399293
2020-09-08,19686,401288
2020-09-09,19917,402825
